Property Name,Address,Property Type,Health Index,Largest Category,Largest Category Percent,Vacancy,Vacancy Growth,Persistent Vacancy (3+ yrs),Vacant Units,Vacant Unit Growth,Average Tenancy Length (years),Total Floorspace,Number of Units,Percent Multiple,Percent Independent,Quality of Offer - % Mass,Quality of Offer - % Premium,Quality of Offer - % Value,Vacant Floorspace,Vacant Floorspace Growth,Floorspace Vacancy,Floorspace Vacancy Growth,Floorspace Vacancy Leisure,Floorspace Vacancy Leisure Growth,Floorspace Vacancy Retail,Floorspace Vacancy Retail Growth,Floorspace Persistent Vacancy (3+ yrs)
Addlestone,"Station Road, Addlestone, Surrey, KT15 2BD",High Street,68,"Hairdressing, Health & Beauty",0.25714286,0.04444445,-0.00990338,0.01111111,4,-1,9.728323549,18040,90,0.4,0.6,0.5,0,0.5,400,-0.21568627,0.02217295,0.00439052,0.04104478,0.01882256,0.01472557,-0.00146077,130
Aldershot,"Station Road, Aldershot, Hampshire, GU11 1HT",High Street,46,"Hairdressing, Health & Beauty",0.13809524,0.09433962,0.01357039,0.04245283,25,4,8.903287671,34730,212,0.23333333,0.76666667,0.3,0,0.7,5140,0.38172043,0.14799885,0.04356314,0.23076923,0.15266029,0.11153846,-0.00099351,3770
Alton,"Market Street, Alton, Hampshire, GU34 1HA",High Street,47,"Hairdressing, Health & Beauty",0.21827411,0.135,-0.04590452,0.08,27,-9,9.033655518,40450,200,0.34010152,0.65989848,0.5862069,0.10344828,0.31034483,4360,-0.2,0.10778739,-0.01854548,0.04046997,-0.06934915,0.11697755,-0.01280662,2330
Amersham,"Sycamore Road, Amersham, Buckinghamshire, HP6 5EQ",High Street,61,"Hairdressing, Health & Beauty",0.17575758,0.0479452,-0.01962237,0.00684932,7,-3,10.16176007,23150,146,0.41212121,0.58787879,0.5862069,0.13793103,0.27586207,1360,-0.35545024,0.0587473,-0.0354071,0.0397878,-0.01074411,0.06210099,-0.04498211,0
Ampthill,"Dunstable Street, Bedford, Bedfordshire, MK45 2JP",High Street,39,"Hairdressing, Health & Beauty",0.27536232,0.08823529,-0.01945702,0.04411765,6,-1,6.768711535,6180,68,0.1884058,0.8115942,0.5,0,0.5,760,-0.03797468,0.12297735,-0.00610762,0,-0.24358974,0.14155251,0.06316771,380
Ascot,"High Street, Ascot, Berkshire, SL5 7HG",High Street,66,Estate Agents & Auctioneers,0.14814815,0.07407407,0.07407407,0,2,2,10.55616438,4030,27,0.59259259,0.40740741,0.66666667,0,0.33333333,270,270,0.06699752,0.06699752,0,0,0.08737864,0.08737864,0
"Ashford, Surrey","Church Road, Ashford (Surrey), Surrey, TW15 2UD",High Street,51,"Hairdressing, Health & Beauty",0.20952381,0.11650485,-0.00849515,0.03883495,12,-1,9.259047619,11660,103,0.23809524,0.76190476,0.5,0,0.5,1250,-0.24242424,0.10720412,-0.03791461,0.11353712,0.03056769,0.10879121,-0.04612208,650
Aylesbury,"Friars Square, Aylesbury, Buckinghamshire, HP20 2SP",High Street,43,"Hairdressing, Health & Beauty",0.20274914,0.11357341,-0.00159513,0.0449827,41,0,8.947116697,56110,289,0.31958763,0.68041237,0.46153846,0.03846154,0.5,8110,-0.10879121,0.14453752,-0.00597522,0.06603175,-0.03920081,0.17331248,0.00231579,2010
Baldock,"Whitehorse Street, Baldock, Hertfordshire, SG7 6QN",High Street,58,"Hairdressing, Health & Beauty",0.26315789,0.05479452,-0.02853881,0.02739726,4,-2,9.824369142,9250,73,0.10526316,0.89473684,0.33333333,0,0.66666667,810,-0.27678571,0.08756757,-0.03120231,0.07615894,-0.08350493,0.08843537,-0.01102213,520
Banstead,"High Street, Banstead, Surrey, SM7 2NL",High Street,61,"Hairdressing, Health & Beauty",0.2,0.03658537,-0.03658536,0,3,-3,10.2852216,12990,82,0.44705882,0.55294118,0.5,0.05555556,0.44444444,760,-0.24,0.05850654,-0.01736599,0.06696429,0.01737751,0.05700935,-0.02561976,0
