centreName,centreType,address,city,county,postcode,website,phone,latitude,longitude,lastVerifiedDate,storeName,categoryRaw,subcategoryRaw,unitNumber,floor,isAnchorTenant,normalizedCategoryId,sourceUrls
Bretton Centre (Full Scheme including Cresset),SHOPPING_CENTRE,"Bretton Way, Bretton",Peterborough,Cambridgeshire,PE3 8DN,https://www.cresset.co.uk/shops-services/,,52.5937,-0.2804,2025-09-29,Sainsbury's,Supermarket,Grocery,,,True,GROCERY_SUPERMARKET,https://stores.sainsburys.co.uk/0227/peterborough---bretton
Bretton Centre (Full Scheme including Cresset),SHOPPING_CENTRE,"Bretton Way, Bretton",Peterborough,Cambridgeshire,PE3 8DN,https://www.cresset.co.uk/shops-services/,,52.5937,-0.2804,2025-09-29,Aldi,Supermarket,Discount Grocery,,,True,GROCERY_SUPERMARKET,https://stores.aldi.co.uk/east-of-england/peterborough/flaxland-bretton
Bretton Centre (Full Scheme including Cresset),SHOPPING_CENTRE,"Bretton Way, Bretton",Peterborough,Cambridgeshire,PE3 8DN,https://www.cresset.co.uk/shops-services/,,52.5937,-0.2804,2025-09-29,Iceland,Supermarket,Frozen Foods,,,False,GROCERY_SUPERMARKET,https://www.iceland.co.uk/store-finder/store?StoreID=630&StoreName=BRETTON
Bretton Centre (Full Scheme including Cresset),SHOPPING_CENTRE,"Bretton Way, Bretton",Peterborough,Cambridgeshire,PE3 8DN,https://www.cresset.co.uk/shops-services/,,52.5937,-0.2804,2025-09-29,Boots,Pharmacy,Pharmacy & Beauty,,,False,HEALTH_BEAUTY,https://www.boots.com/stores/6524-peterborough-bretton-centre-pe3-8dn
Bretton Centre (Full Scheme including Cresset),SHOPPING_CENTRE,"Bretton Way, Bretton",Peterborough,Cambridgeshire,PE3 8DN,https://www.cresset.co.uk/shops-services/,,52.5937,-0.2804,2025-09-29,Poundland,Discount Retail,Variety,,,False,DISCOUNT_STORE,https://www.poundland.co.uk/store/peterborough-bretton
Bretton Centre (Full Scheme including Cresset),SHOPPING_CENTRE,"Bretton Way, Bretton",Peterborough,Cambridgeshire,PE3 8DN,https://www.cresset.co.uk/shops-services/,,52.5937,-0.2804,2025-09-29,Card Factory,Cards & Gifts,Greeting Cards,,,False,GIFTS_CARDS,https://www.cardfactory.co.uk/stores/peterborough/bretton-centre
Bretton Centre (Full Scheme including Cresset),SHOPPING_CENTRE,"Bretton Way, Bretton",Peterborough,Cambridgeshire,PE3 8DN,https://www.cresset.co.uk/shops-services/,,52.5937,-0.2804,2025-09-29,Pep&Co (in Poundland),Clothing,Value Fashion,,,False,FASHION_VALUE,https://www.pepco.eu/uk/
Bretton Centre (Full Scheme including Cresset),SHOPPING_CENTRE,"Bretton Way, Bretton",Peterborough,Cambridgeshire,PE3 8DN,https://www.cresset.co.uk/shops-services/,,52.5937,-0.2804,2025-09-29,Sports Direct (with GAME),Sports Retail,Sportswear + Video Games,,,False,SPORTS_RETAIL,https://us.sportsdirect.com/peterborough---bretton-store-0322
Bretton Centre (Full Scheme including Cresset),SHOPPING_CENTRE,"Bretton Way, Bretton",Peterborough,Cambridgeshire,PE3 8DN,https://www.cresset.co.uk/shops-services/,,52.5937,-0.2804,2025-09-29,Pets at Home,Pet Store,Pets & Supplies,,,False,PETS,https://www.petsathome.com/find-us/locations/cambridgeshire/peterborough-bretton
Bretton Centre (Full Scheme including Cresset),SHOPPING_CENTRE,"Bretton Way, Bretton",Peterborough,Cambridgeshire,PE3 8DN,https://www.cresset.co.uk/shops-services/,,52.5937,-0.2804,2025-09-29,Vets4Pets (in Pets at Home),Veterinary,Vet Practice,,,False,VETERINARY,https://www.vets4pets.com/practices/pets-at-home/peterborough-bretton
