date,geography,geography code,Age: Total,Age: Aged 4 years and under,Age: Aged 5 to 9 years,Age: Aged 10 to 14 years,Age: Aged 15 to 19 years,Age: Aged 20 to 24 years,Age: Aged 25 to 29 years,Age: Aged 30 to 34 years,Age: Aged 35 to 39 years,Age: Aged 40 to 44 years,Age: Aged 45 to 49 years,Age: Aged 50 to 54 years,Age: Aged 55 to 59 years,Age: Aged 60 to 64 years,Age: Aged 65 to 69 years,Age: Aged 70 to 74 years,Age: Aged 75 to 79 years,Age: Aged 80 to 84 years,Age: Aged 85 years and over
2021,North East,E12000001,2647013,134305,150473,154390,150109,162925,160734,167975,163402,152167,159017,183383,192337,175237,151649,148366,101260,73375,65909
2021,North West,E12000002,7417397,407653,445074,452407,430951,453698,476821,505938,485619,444805,458363,513521,512507,443722,375952,379530,269822,190185,170829
2021,Yorkshire and The Humber,E12000003,5480778,298557,326103,332635,322976,347766,350889,367343,349826,323754,337972,380604,373906,327459,280709,284449,201128,142487,132215
2021,East Midlands,E12000004,4880051,253198,283318,290340,287260,306418,301166,319131,308032,292263,308370,346559,340031,292190,253818,260867,190813,127460,118817
2021,West Midlands,E12000005,5950759,335390,368300,374417,357485,363419,373003,399937,383140,360431,370157,412745,395528,339572,293756,293867,225523,156961,147128
2021,East,E12000006,6335075,349144,380618,385077,343034,342373,387940,424411,417896,405843,410811,442832,432496,369476,319222,335984,246562,171263,170093
2021,London,E12000007,8799725,528956,531493,535442,489386,589185,786549,808343,735707,667284,593970,573792,511615,404585,306343,269137,189664,140664,137610
2021,South East,E12000008,9278066,495302,552246,568993,524049,516468,546006,603564,607726,604387,614717,657101,641094,542155,462272,481549,357688,249372,253377
2021,South West,E12000009,5701184,274446,311072,319626,313641,332200,332171,355940,344040,329473,349267,397216,406858,361602,323775,342899,256315,174316,176327
2021,Wales,W92000004,3107493,155086,175925,182702,175770,187675,186460,196215,186231,175351,186077,215680,222672,199606,177641,181337,131497,88994,82574
