date,geography,geography code,Number of cars or vans: Total: All households,Number of cars or vans: No cars or vans in household,Number of cars or vans: 1 car or van in household,Number of cars or vans: 2 cars or vans in household,Number of cars or vans: 3 or more cars or vans in household
2021,North East,E12000001,1175680,324661,493735,277248,80036
2021,North West,E12000002,3153403,778262,1331880,804289,238972
2021,Yorkshire and The Humber,E12000003,2330660,564965,980137,600010,185548
2021,East Midlands,E12000004,2037332,389858,833576,600764,213134
2021,West Midlands,E12000005,2429493,522944,985764,674177,246608
2021,East,E12000006,2628782,442119,1092400,789798,304465
2021,London,E12000007,3423890,1440271,1380847,464970,137802
2021,South East,E12000008,3807966,642098,1553917,1163276,448675
2021,South West,E12000009,2448881,410920,1022391,732438,283132
2021,Wales,W92000004,1347114,261859,562253,378768,144234
