date,geography,geography code,Number of cars or vans: Total: All households,Number of cars or vans: No cars or vans in household,Number of cars or vans: 1 car or van in household,Number of cars or vans: 2 cars or vans in household,Number of cars or vans: 3 or more cars or vans in household
2021,Hartlepool,E06000001,40930,12102,16635,9259,2934
2021,Middlesbrough,E06000002,60263,19964,24144,12572,3583
2021,Redcar and Cleveland,E06000003,61638,15288,26089,15288,4973
2021,Stockton-on-Tees,E06000004,83756,18713,34299,23675,7069
2021,Darlington,E06000005,48918,12253,21342,11906,3417
2021,Halton,E06000006,55951,13309,23683,14834,4125
2021,Warrington,E06000007,90538,15776,37383,28681,8698
2021,Blackburn with Darwen,E06000008,58767,15814,24748,13939,4266
2021,Blackpool,E06000009,64789,22019,27318,12017,3435
2021,"Kingston upon Hull, City of",E06000010,115472,40476,49284,21034,4678
2021,East Riding of Yorkshire,E06000011,152066,23997,64070,47338,16661
2021,North East Lincolnshire,E06000012,69826,18794,29470,16725,4837
2021,North Lincolnshire,E06000013,73173,13503,29967,21659,8044
2021,York,E06000014,85456,20470,39307,20190,5489
2021,Derby,E06000015,105651,27420,44463,25841,7927
2021,Leicester,E06000016,127388,42083,52325,24968,8012
2021,Rutland,E06000017,16694,1723,6644,6050,2277
2021,Nottingham,E06000018,124745,47399,51357,20474,5515
2021,"Herefordshire, County of",E06000019,82827,11963,33072,26168,11624
2021,Telford and Wrekin,E06000020,76510,14326,31773,22513,7898
2021,Stoke-on-Trent,E06000021,110400,30166,48001,25101,7132
2021,Bath and North East Somerset,E06000022,79250,15796,32994,22271,8189
2021,"Bristol, City of",E06000023,191640,50141,87781,41397,12321
2021,North Somerset,E06000024,94648,14156,38878,30335,11279
2021,South Gloucestershire,E06000025,118101,14585,47411,40325,15780
2021,Plymouth,E06000026,114558,28534,49883,28065,8076
2021,Torbay,E06000027,62992,14635,27302,15426,5629
2021,Swindon,E06000030,95862,18549,39961,28411,8941
2021,Peterborough,E06000031,84533,19149,36755,22088,6541
2021,Luton,E06000032,78940,19720,33927,18584,6709
2021,Southend-on-Sea,E06000033,78346,19246,34739,18412,5949
2021,Thurrock,E06000034,66376,11474,28100,19504,7298
2021,Medway,E06000035,111458,21449,45564,32204,12241
2021,Bracknell Forest,E06000036,50248,5772,19256,18865,6355
2021,West Berkshire,E06000037,66658,8043,25521,23419,9675
2021,Reading,E06000038,67680,19206,29992,14293,4189
2021,Slough,E06000039,52422,10634,22358,14121,5309
2021,Windsor and Maidenhead,E06000040,60932,7737,24350,20650,8195
2021,Wokingham,E06000041,69164,6242,25935,27309,9678
2021,Milton Keynes,E06000042,113102,19349,49077,34030,10646
2021,Brighton and Hove,E06000043,121402,45460,51874,19070,4998
2021,Portsmouth,E06000044,86157,26107,37458,17917,4675
2021,Southampton,E06000045,102291,28018,45272,22324,6677
2021,Isle of Wight,E06000046,64775,13449,28768,16255,6303
2021,County Durham,E06000047,234761,56658,99248,59963,18892
2021,Cheshire East,E06000049,174856,25367,71640,58151,19698
2021,Cheshire West and Chester,E06000050,155156,25909,63368,49589,16290
2021,Shropshire,E06000051,139579,19280,55999,44709,19591
2021,Cornwall,E06000052,250534,37623,105520,76073,31318
2021,Isles of Scilly,E06000053,941,393,360,144,44
2021,Wiltshire,E06000054,215081,28198,84809,73170,28904
2021,Bedford,E06000055,74952,13631,30160,22875,8286
2021,Central Bedfordshire,E06000056,120756,13609,46621,43924,16602
2021,Northumberland,E06000057,146922,28969,63283,41349,13321
2021,"Bournemouth, Christchurch and Poole",E06000058,173842,33692,75280,47819,17051
2021,Dorset,E06000059,169261,23132,69142,53854,23133
2021,Buckinghamshire,E06000060,220328,25285,82470,79464,33109
2021,North Northamptonshire,E06000061,148918,23793,60120,47703,17302
2021,West Northamptonshire,E06000062,172640,27457,67278,56520,21385
2021,Bolton,E08000001,118790,29427,50816,29967,8580
2021,Bury,E08000002,80695,17829,35125,21845,5896
2021,Manchester,E08000003,214732,83770,92267,31611,7084
2021,Oldham,E08000004,93140,25744,39646,21541,6209
2021,Rochdale,E08000005,90223,23697,38272,22067,6187
2021,Salford,E08000006,115116,38206,49424,22239,5247
2021,Stockport,E08000007,126648,24889,54538,36885,10336
2021,Tameside,E08000008,99527,25969,43226,23781,6551
2021,Trafford,E08000009,96269,18555,41742,28427,7545
2021,Wigan,E08000010,143105,30519,60609,40335,11642
2021,Knowsley,E08000011,66073,20621,27218,14663,3571
2021,Liverpool,E08000012,207491,83142,83796,33311,7242
2021,St. Helens,E08000013,81010,18785,34286,21931,6008
2021,Sefton,E08000014,123071,32455,52487,29715,8414
2021,Wirral,E08000015,143252,35911,60728,36052,10561
2021,Barnsley,E08000016,108054,24580,44800,29576,9098
2021,Doncaster,E08000017,133480,32560,55681,34412,10827
2021,Rotherham,E08000018,113924,26186,45465,31785,10488
2021,Sheffield,E08000019,231950,67843,98577,51149,14381
2021,Newcastle upon Tyne,E08000021,122795,44961,50078,22425,5331
2021,North Tyneside,E08000022,96232,26766,42878,21637,4951
2021,South Tyneside,E08000023,68287,22372,28630,13785,3500
2021,Sunderland,E08000024,122177,37778,49971,26926,7502
2021,Birmingham,E08000025,423456,134123,176325,86325,26683
2021,Coventry,E08000026,134140,37047,55958,31334,9801
