date,geography,geography code,Tenure of household: Total: All households,Tenure of household: Owned,Tenure of household: Owned: Owns outright,Tenure of household: Owned: Owns with a mortgage or loan,Tenure of household: Shared ownership,Tenure of household: Shared ownership: Shared ownership,Tenure of household: Social rented,Tenure of household: Social rented: Rents from council or Local Authority,Tenure of household: Social rented: Other social rented,Tenure of household: Private rented,Tenure of household: Private rented: Private landlord or letting agency,Tenure of household: Private rented: Other private rented,Tenure of household: Lives rent free
2021,North East,E12000001,1175679,708546,382035,326511,5234,5234,258134,149229,108905,202539,177306,25233,1226
2021,North West,E12000002,3153403,1965545,1051022,914523,21551,21551,555764,202719,353045,606844,541191,65653,3699
2021,Yorkshire and The Humber,E12000003,2330658,1458591,784891,673700,12484,12484,403013,257848,145165,452557,399843,52714,4013
2021,East Midlands,E12000004,2037332,1333775,722183,611592,17617,17617,303029,178068,124961,380046,337278,42768,2865
2021,West Midlands,E12000005,2429494,1525744,836014,689730,19549,19549,443332,232457,210875,435884,385809,50075,4985
2021,East,E12000006,2628782,1714628,910112,804516,26174,26174,407152,186616,220536,478574,423155,55419,2254
2021,London,E12000007,3423889,1548546,710052,838494,52496,52496,790958,413914,377044,1025533,946379,79154,6356
2021,South East,E12000008,3807966,2500475,1306219,1194256,54389,54389,519352,200415,318937,730767,645050,85717,2983
2021,South West,E12000009,2448879,1613214,922164,691050,26458,26458,324928,123885,201043,482144,417677,64467,2135
2021,Wales,W92000004,1347117,889916,512089,377827,4283,4283,222093,116637,105456,228642,194845,33797,2183
