date,geography,geography code,Tenure of household: Total: All households,Tenure of household: Owned,Tenure of household: Owned: Owns outright,Tenure of household: Owned: Owns with a mortgage or loan,Tenure of household: Shared ownership,Tenure of household: Shared ownership: Shared ownership,Tenure of household: Social rented,Tenure of household: Social rented: Rents from council or Local Authority,Tenure of household: Social rented: Other social rented,Tenure of household: Private rented,Tenure of household: Private rented: Private landlord or letting agency,Tenure of household: Private rented: Other private rented,Tenure of household: Lives rent free
2021,Hartlepool,E06000001,40929,23834,12761,11073,239,239,9594,3986,5608,7194,6338,856,68
2021,Middlesbrough,E06000002,60265,33137,17224,15913,330,330,14006,6773,7233,12677,11286,1391,115
2021,Redcar and Cleveland,E06000003,61638,39854,22649,17205,346,346,11649,5269,6380,9748,8410,1338,41
2021,Stockton-on-Tees,E06000004,83756,55412,27726,27686,385,385,13673,7204,6469,14207,12388,1819,79
2021,Darlington,E06000005,48915,30696,16222,14474,190,190,7931,5112,2819,10078,9035,1043,20
2021,Halton,E06000006,55951,33840,17096,16744,429,429,13619,2898,10721,8018,7088,930,45
2021,Warrington,E06000007,90538,62185,31939,30246,686,686,13842,4982,8860,13773,12193,1580,52
2021,Blackburn with Darwen,E06000008,58767,35531,19573,15958,308,308,11031,2718,8313,11850,10290,1560,47
2021,Blackpool,E06000009,64783,37234,20348,16886,213,213,6700,3947,2753,20569,18843,1726,67
2021,"Kingston upon Hull, City of",E06000010,115475,55741,26695,29046,585,585,31167,21768,9399,27593,25419,2174,389
2021,East Riding of Yorkshire,E06000011,152066,111198,65680,45518,634,634,14280,10874,3406,25732,22171,3561,222
2021,North East Lincolnshire,E06000012,69826,44584,24373,20211,358,358,9191,2729,6462,15644,14185,1459,49
2021,North Lincolnshire,E06000013,73172,49396,27829,21567,204,204,10953,5035,5918,12555,10929,1626,64
2021,York,E06000014,85458,55635,31453,24182,719,719,11924,7152,4772,17084,15209,1875,96
2021,Derby,E06000015,105651,62369,33384,28985,790,790,19851,11713,8138,22453,20395,2058,188
2021,Leicester,E06000016,127389,59430,31324,28106,662,662,29495,18748,10747,37437,34549,2888,365
2021,Rutland,E06000017,16691,11841,7286,4555,233,233,1819,310,1509,2790,2082,708,8
2021,Nottingham,E06000018,124743,56315,27940,28375,609,609,31796,22854,8942,35688,33039,2649,335
2021,"Herefordshire, County of",E06000019,82827,54963,35070,19893,916,916,11309,2657,8652,15605,12943,2662,34
2021,Telford and Wrekin,E06000020,76509,45864,23088,22776,586,586,13784,4966,8818,16197,14694,1503,78
2021,Stoke-on-Trent,E06000021,110400,62653,33558,29095,404,404,24569,16913,7656,22400,20065,2335,374
2021,Bath and North East Somerset,E06000022,79250,51733,28855,22878,790,790,11363,3064,8299,15309,13758,1551,55
2021,"Bristol, City of",E06000023,191638,103420,48199,55221,1656,1656,35879,24977,10902,50213,46271,3942,470
2021,North Somerset,E06000024,94648,67782,37250,30532,679,679,8714,2003,6711,17420,15541,1879,53
2021,South Gloucestershire,E06000025,118101,85492,43220,42272,1231,1231,12738,2122,10616,18588,16441,2147,52
2021,Plymouth,E06000026,114557,66038,33783,32255,1349,1349,21111,7386,13725,25921,22754,3167,138
2021,Torbay,E06000027,62992,40362,24663,15699,622,622,5225,561,4664,16767,15195,1572,16
2021,Swindon,E06000030,95861,61043,27968,33075,1203,1203,14944,9786,5158,18520,16798,1722,151
2021,Peterborough,E06000031,84533,46892,22268,24624,1167,1167,15760,5009,10751,20612,18675,1937,102
2021,Luton,E06000032,78940,42577,20296,22281,426,426,12923,8498,4425,22887,21280,1607,127
2021,Southend-on-Sea,E06000033,78344,48023,24722,23301,503,503,9019,4822,4197,20759,19085,1674,40
2021,Thurrock,E06000034,66377,42020,16912,25108,445,445,11733,9639,2094,12131,11015,1116,48
2021,Medway,E06000035,111457,72122,34388,37734,1646,1646,15130,4553,10577,22491,20219,2272,68
2021,Bracknell Forest,E06000036,50245,33541,14488,19053,877,877,7889,2507,5382,7902,6957,945,36
2021,West Berkshire,E06000037,66658,45037,23209,21828,878,878,9305,787,8518,11431,9668,1763,7
2021,Reading,E06000038,67683,34133,15426,18707,883,883,10924,6145,4779,21623,20373,1250,120
2021,Slough,E06000039,52423,25401,10215,15186,573,573,10266,6304,3962,16095,15101,994,88
2021,Windsor and Maidenhead,E06000040,60929,40306,20393,19913,392,392,7655,705,6950,12553,10635,1918,23
2021,Wokingham,E06000041,69165,52599,24952,27647,1426,1426,5331,2844,2487,9782,8665,1117,27
2021,Milton Keynes,E06000042,113103,61945,27193,34752,6905,6905,20448,11029,9419,23656,21780,1876,149
2021,Brighton and Hove,E06000043,121402,62417,30444,31973,997,997,18051,11587,6464,39684,37167,2517,253
2021,Portsmouth,E06000044,86155,45024,21958,23066,769,769,15507,9394,6113,24669,22196,2473,186
2021,Southampton,E06000045,102290,48838,23049,25789,1061,1061,22397,14958,7439,29860,28063,1797,134
2021,Isle of Wight,E06000046,64775,43820,28737,15083,509,509,7057,678,6379,13380,11731,1649,9
2021,County Durham,E06000047,234764,146821,81046,65775,692,692,46858,21999,24859,40198,35156,5042,195
2021,Cheshire East,E06000049,174854,125646,69191,56455,1772,1772,20243,4659,15584,27114,23868,3246,79
2021,Cheshire West and Chester,E06000050,155154,105956,57620,48336,1945,1945,22710,9412,13298,24384,21291,3093,159
2021,Shropshire,E06000051,139579,95784,59262,36522,1170,1170,18169,5616,12553,24367,20425,3942,89
2021,Cornwall,E06000052,250533,165958,104659,61299,2949,2949,32039,13023,19016,49371,41545,7826,216
2021,Isles of Scilly,E06000053,939,418,320,98,14,14,162,103,59,344,224,120,1
2021,Wiltshire,E06000054,215081,143767,80220,63547,2546,2546,31228,7845,23383,37422,27674,9748,118
2021,Bedford,E06000055,74949,46964,23359,23605,1427,1427,12200,1782,10418,14316,12905,1411,42
2021,Central Bedfordshire,E06000056,120754,85923,40618,45305,2112,2112,16077,5620,10457,16567,14329,2238,75
2021,Northumberland,E06000057,146922,95788,56684,39104,801,801,26085,13597,12488,24128,20149,3979,120
2021,"Bournemouth, Christchurch and Poole",E06000058,173842,109221,59736,49485,1226,1226,19102,8864,10238,44152,40460,3692,141
2021,Dorset,E06000059,169261,119154,77561,41593,1620,1620,20836,2263,18573,27612,22778,4834,39
2021,Buckinghamshire,E06000060,220327,154239,77213,77026,2813,2813,28535,5766,22769,34630,29769,4861,110
2021,North Northamptonshire,E06000061,148918,96862,47617,49245,1760,1760,22671,10410,12261,27455,24645,2810,170
2021,West Northamptonshire,E06000062,172639,111955,53782,58173,2647,2647,24811,12035,12776,33000,29463,3537,226
2021,Bolton,E08000001,118790,73083,39475,33608,493,493,23555,12540,11015,21372,18776,2596,287
2021,Bury,E08000002,80696,53992,27752,26240,292,292,12044,6718,5326,14249,12628,1621,119
2021,Manchester,E08000003,214730,79925,35423,44502,1679,1679,63276,24419,38857,69403,65041,4362,447
2021,Oldham,E08000004,93140,56229,29384,26845,412,412,19760,7572,12188,16498,14253,2245,241
2021,Rochdale,E08000005,90222,54377,27411,26966,342,342,18815,9972,8843,16503,14535,1968,185
2021,Salford,E08000006,115117,54068,25294,28774,646,646,29227,13599,15628,30853,28651,2202,323
2021,Stockport,E08000007,126648,90025,46498,43527,1486,1486,16849,9880,6969,18192,16238,1954,96
2021,Tameside,E08000008,99527,60521,30363,30158,320,320,21125,5556,15569,17459,15489,1970,102
2021,Trafford,E08000009,96269,66387,33149,33238,654,654,14419,4065,10354,14744,13254,1490,65
2021,Wigan,E08000010,143105,94978,49212,45766,655,655,24333,20083,4250,22761,20040,2721,378
2021,Knowsley,E08000011,66073,39286,18902,20384,543,543,16687,7109,9578,9461,8366,1095,96
2021,Liverpool,E08000012,207491,97041,50393,46648,1378,1378,54758,9355,45403,54067,49950,4117,247
2021,St. Helens,E08000013,81013,52049,28023,24026,627,627,15993,5030,10963,12264,10785,1479,80
2021,Sefton,E08000014,123073,81991,46426,35565,845,845,17735,4159,13576,22457,20029,2428,45
2021,Wirral,E08000015,143252,93114,51333,41781,887,887,22065,5611,16454,27091,24397,2694,95
2021,Barnsley,E08000016,108053,67353,35620,31733,522,522,21294,16772,4522,18569,16296,2273,315
2021,Doncaster,E08000017,133480,83883,44881,39002,563,563,22694,18396,4298,25941,22953,2988,399
2021,Rotherham,E08000018,113926,72496,38318,34178,467,467,23545,18981,4564,17035,14651,2384,383
2021,Sheffield,E08000019,231948,135177,71903,63274,776,776,52334,36110,16224,43424,38976,4448,237
2021,Newcastle upon Tyne,E08000021,122797,60476,30707,29769,580,580,33476,24431,9045,27978,25300,2678,287
2021,North Tyneside,E08000022,96232,61271,31038,30233,504,504,19765,14069,5696,14625,12755,1870,67
2021,South Tyneside,E08000023,68288,38655,20503,18152,336,336,20208,15720,4488,9025,7742,1283,64
2021,Sunderland,E08000024,122177,70992,38312,32680,484,484,32554,13760,18794,18096,15827,2269,51
2021,Birmingham,E08000025,423455,223016,114970,108046,3641,3641,99499,58609,40890,95719,86669,9050,1580
2021,Coventry,E08000026,134140,77062,40278,36784,906,906,22766,7244,15522,33195,30134,3061,211
2021,Dudley,E08000027,137069,91053,51133,39920,618,618,26021,21157,4864,18940,16644,2296,437
2021,Sandwell,E08000028,130246,70004,35924,34080,631,631,34612,27293,7319,24237,21710,2527,762
2021,Solihull,E08000029,89482,64638,35054,29584,710,710,12532,8901,3631,11496,10249,1247,106
2021,Walsall,E08000030,112226,66589,36296,30293,557,557,26576,9241,17335,18336,16323,2013,168
2021,Wolverhampton,E08000031,105142,57810,31345,26465,445,445,26484,19761,6723,20006,17922,2084,397
2021,Bradford,E08000032,209867,129573,66875,62698,1043,1043,30731,11798,18933,48278,42709,5569,242
2021,Calderdale,E08000033,90476,58439,31269,27170,366,366,13170,3793,9377,18437,16210,2227,64
2021,Kirklees,E08000034,177989,116608,62352,54256,676,676,26288,19678,6610,33942,29858,4084,475
2021,Leeds,E08000035,341466,194584,95452,99132,1947,1947,69742,51716,18026,74402,68197,6205,791
2021,Wakefield,E08000036,153075,95826,48566,47260,1200,1200,33188,22323,10865,22754,19969,2785,107
2021,Gateshead,E08000037,88999,51609,27161,24448,350,350,22334,17308,5026,14584,12920,1664,122
2021,City of London,E09000001,4914,1794,1114,680,12,12,730,449,281,2373,2064,309,5
2021,Barking and Dagenham,E09000002,73902,31319,11130,20189,1274,1274,23273,18077,5196,17890,16443,1447,146
2021,Barnet,E09000003,148917,78407,39083,39324,1633,1633,20034,10030,10004,48705,45180,3525,138
2021,Bexley,E09000004,95300,65417,31210,34207,1263,1263,13977,2491,11486,14578,13078,1500,65
2021,Brent,E09000005,118612,45593,23933,21660,2246,2246,27876,10444,17432,42726,39732,2994,171
2021,Bromley,E09000006,135828,93028,44794,48234,1166,1166,17926,2090,15836,23661,21418,2243,47
2021,Camden,E09000007,92758,27507,14780,12727,715,715,31250,21051,10199,33012,30382,2630,274
2021,Croydon,E09000008,152945,83667,36992,46675,2183,2183,27371,14769,12602,39441,36484,2957,283
2021,Ealing,E09000009,133657,61814,30275,31539,2658,2658,23382,11326,12056,45490,42063,3427,313
2021,Enfield,E09000010,120923,63347,31740,31607,1319,1319,20573,12530,8043,35388,32773,2615,296
2021,Greenwich,E09000011,114051,46927,18473,28454,2471,2471,35327,21257,14070,29088,26863,2225,238
2021,Hackney,E09000012,106081,26066,10263,15803,2664,2664,42945,21943,21002,34147,31943,2204,259
2021,Hammersmith and Fulham,E09000013,81244,26090,12483,13607,1208,1208,24231,11840,12391,29558,27284,2274,157
2021,Haringey,E09000014,105091,39116,18141,20975,1732,1732,26474,15630,10844,37376,35052,2324,393
2021,Harrow,E09000015,89642,52690,26947,25743,1007,1007,9298,4977,4321,26495,24354,2141,152
2021,Havering,E09000016,101276,70379,34918,35461,976,976,13807,9423,4384,16019,14452,1567,95
2021,Hillingdon,E09000017,109228,61831,28994,32837,1373,1373,17613,10179,7434,28276,25692,2584,135
2021,Hounslow,E09000018,102961,47044,21761,25283,2225,2225,21618,13251,8367,31788,29537,2251,286
2021,Islington,E09000019,96496,25740,11151,14589,1580,1580,38787,24081,14706,30079,28084,1995,310
2021,Kensington and Chelsea,E09000020,66884,21191,13301,7890,676,676,18430,7154,11276,26460,23560,2900,127
2021,Kingston upon Thames,E09000021,65628,39937,18519,21418,460,460,7244,4647,2597,17911,16535,1376,76
2021,Lambeth,E09000022,134688,44469,16180,28289,2441,2441,45243,24126,21117,42329,39228,3101,206
2021,Lewisham,E09000023,122393,51230,18853,32377,1944,1944,35753,16045,19708,33289,30797,2492,177
2021,Merton,E09000024,81726,45468,20695,24773,869,869,11599,2342,9257,23748,21998,1750,42
2021,Newham,E09000025,115511,35579,14695,20884,2739,2739,32390,17989,14401,44479,41391,3088,324
2021,Redbridge,E09000026,103714,59221,27956,31265,983,983,11707,6604,5103,31576,29079,2497,227
2021,Richmond upon Thames,E09000027,80704,50361,24535,25826,560,560,9752,1829,7923,19970,18393,1577,61
2021,Southwark,E09000028,130820,37749,13879,23870,3182,3182,51991,35433,16558,37506,34493,3013,392
2021,Sutton,E09000029,82347,53047,23400,29647,889,889,11667,5399,6268,16683,15372,1311,61
2021,Tower Hamlets,E09000030,120539,27883,9424,18459,3143,3143,43237,16697,26540,46000,43126,2874,276
2021,Waltham Forest,E09000031,102901,50356,20817,29539,1700,1700,22099,10737,11362,28593,26361,2232,153
2021,Wandsworth,E09000032,137392,58325,24410,33915,2509,2509,26544,16653,9891,49830,46295,3535,184
2021,Westminster,E09000033,94816,25962,15213,10749,695,695,26810,12418,14392,41065,36871,4194,284
2021,Cambridgeshire,E10000003,277634,177075,95061,82014,4401,4401,42253,15984,26269,53690,46798,6892,215
2021,Cumbria,E10000006,228954,160021,97490,62531,1344,1344,32119,9121,22998,35347,29289,6058,123
2021,Derbyshire,E10000007,354213,247327,138697,108630,2078,2078,51390,31503,19887,52993,45988,7005,425
2021,Devon,E10000008,352618,240618,148798,91820,4216,4216,40632,15627,25005,66916,57654,9262,236
2021,East Sussex,E10000011,240122,164337,98378,65959,2051,2051,26479,10835,15644,47106,41803,5303,149
2021,Essex,E10000012,626470,432370,227592,204778,5259,5259,88529,45368,43161,99764,87593,12171,548
2021,Gloucestershire,E10000013,279431,189508,106047,83461,3764,3764,36666,13759,22907,49255,42649,6606,238
2021,Hampshire,E10000014,587693,409132,218380,190752,8311,8311,81591,25813,55778,88269,73458,14811,390
2021,Hertfordshire,E10000015,482893,311882,151307,160575,5116,5116,85236,40129,45107,80310,72661,7649,349
2021,Kent,E10000016,648393,428783,227729,201054,8734,8734,87869,35782,52087,122497,108543,13954,510
2021,Lancashire,E10000017,525246,358060,198722,159338,3594,3594,64852,19312,45540,98416,85896,12520,324
2021,Leicestershire,E10000018,296408,217452,116299,101153,3339,3339,31008,15636,15372,44396,39202,5194,213
2021,Lincolnshire,E10000019,333552,220526,129274,91252,3466,3466,44479,24730,19749,64639,55817,8822,442
2021,Norfolk,E10000020,404341,262926,159146,103780,2844,2844,63496,26583,36913,74722,64491,10231,353
2021,North Yorkshire,E10000023,274381,188098,113625,74473,2426,2426,32516,10726,21790,51164,42111,9053,177
2021,Nottinghamshire,E10000024,357124,249693,136577,113116,2034,2034,45710,30129,15581,59194,52097,7097,493
2021,Oxfordshire,E10000025,288108,182326,97379,84947,5211,5211,42250,11981,30269,58152,49107,9045,169
2021,Somerset,E10000027,250124,168702,100887,67815,2593,2593,34287,12501,21786,44331,37934,6397,211
2021,Staffordshire,E10000028,375221,264585,147903,116682,2746,2746,52935,18522,34413,54631,47101,7530,324
2021,Suffolk,E10000029,333543,217975,128831,89144,2473,2473,49924,23180,26744,62816,54323,8493,355
2021,Surrey,E10000030,481816,339507,169953,169554,5815,5815,55055,21791,33264,81169,71663,9506,270
2021,Warwickshire,E10000031,253265,172710,91658,81052,3373,3373,34695,17513,17182,42254,37302,4952,233
2021,West Sussex,E10000032,375218,256959,142731,114228,4538,4538,47611,16953,30658,65823,58154,7669,287
2021,Worcestershire,E10000034,259933,179013,100475,78538,2844,2844,39384,14066,25318,38501,33629,4872,191
2021,Isle of Anglesey,W06000001,30824,21020,13756,7264,87,87,4820,3783,1037,4799,3735,1064,98
2021,Gwynedd,W06000002,51105,33428,22214,11214,150,150,8557,3524,5033,8865,7060,1805,105
2021,Conwy,W06000003,52235,35726,22759,12967,291,291,6257,2051,4206,9920,8526,1394,41
2021,Denbighshire,W06000004,42387,27940,16828,11112,234,234,5648,3298,2350,8492,7295,1197,73
2021,Flintshire,W06000005,66911,48019,25945,22074,307,307,9714,6985,2729,8839,7544,1295,32
2021,Wrexham,W06000006,57915,36218,19947,16271,182,182,12161,9958,2203,9166,7890,1276,188
2021,Ceredigion,W06000008,30891,21176,14798,6378,96,96,3239,752,2487,6371,5294,1077,9
2021,Pembrokeshire,W06000009,55487,37203,24647,12556,141,141,8994,5691,3303,9114,7277,1837,35
2021,Carmarthenshire,W06000010,81759,57565,35629,21936,209,209,11698,8540,3158,12171,10048,2123,116
2021,Swansea,W06000011,104962,65386,37162,28224,315,315,20045,12257,7788,18901,16417,2484,315
