date,geography,geography code,National Statistics Socio-economic Classification (NS-SEC): Total: All usual residents aged 16 years and over,"National Statistics Socio-economic Classification (NS-SEC): L1, L2 and L3 Higher managerial, administrative and professional occupations","National Statistics Socio-economic Classification (NS-SEC): L4, L5 and L6 Lower managerial, administrative and professional occupations",National Statistics Socio-economic Classification (NS-SEC): L7 Intermediate occupations,National Statistics Socio-economic Classification (NS-SEC): L8 and L9 Small employers and own account workers,National Statistics Socio-economic Classification (NS-SEC): L10 and L11 Lower supervisory and technical occupations,National Statistics Socio-economic Classification (NS-SEC): L12 Semi-routine occupations,National Statistics Socio-economic Classification (NS-SEC): L13 Routine occupations,National Statistics Socio-economic Classification (NS-SEC): L14.1 and L14.2 Never worked and long-term unemployed,National Statistics Socio-economic Classification (NS-SEC): L15 Full-time students
2021,Hartlepool,E06000001,74686,5272,12650,8244,5595,5062,11056,11738,10531,4538
2021,Middlesbrough,E06000002,113938,7687,17342,12235,7900,6759,15840,17160,17460,11555
2021,Redcar and Cleveland,E06000003,112341,8273,19920,12435,8897,8961,17123,16788,13910,6034
2021,Stockton-on-Tees,E06000004,158010,16007,30972,19209,11857,10090,20134,22280,17954,9507
2021,Darlington,E06000005,88105,9125,17147,10890,7303,5230,11383,13399,8992,4636
2021,Halton,E06000006,103948,9262,18408,13520,7862,7548,14339,16996,10391,5622
2021,Warrington,E06000007,172718,24517,36555,22347,15086,9591,19062,23893,12453,9214
2021,Blackburn with Darwen,E06000008,119509,9177,19058,14205,10439,6432,14882,17933,17203,10180
2021,Blackpool,E06000009,116339,7226,18549,13893,13867,7311,17431,17382,14403,6277
2021,"Kingston upon Hull, City of",E06000010,213877,11743,30582,21466,14692,15852,32397,43768,25766,17611
2021,East Riding of Yorkshire,E06000011,288141,34013,61751,33989,33106,18196,35335,37213,21313,13225
2021,North East Lincolnshire,E06000012,127521,8411,20582,13107,10592,10348,18145,26033,13546,6757
2021,North Lincolnshire,E06000013,139467,11866,24289,14409,12451,11307,19313,25716,13133,6983
2021,York,E06000014,172083,25340,34324,17934,14612,8597,17145,18306,9131,26694
2021,Derby,E06000015,209191,21070,36857,23127,16091,13301,25705,32809,21366,18865
2021,Leicester,E06000016,291016,19606,35492,26379,20246,13012,32502,61136,39098,43545
2021,Rutland,E06000017,34298,5618,8024,3907,4459,1776,3180,3423,1908,2003
2021,Nottingham,E06000018,264323,21358,35308,22236,17690,12018,27814,38671,28219,61009
2021,"Herefordshire, County of",E06000019,157133,18855,32831,16872,23658,8810,20076,19343,9741,6947
2021,Telford and Wrekin,E06000020,148674,15554,26972,17132,12886,10033,20161,23533,12746,9657
2021,Stoke-on-Trent,E06000021,205900,12422,29351,22019,17538,13670,29635,43173,22086,16006
2021,Bath and North East Somerset,E06000022,161618,25670,33828,16353,17181,7323,15270,15046,7266,23681
2021,"Bristol, City of",E06000023,389708,61263,78452,39249,32948,17002,37927,44234,26458,52175
2021,North Somerset,E06000024,178565,26381,39836,22311,20013,9610,22135,19518,9721,9040
2021,South Gloucestershire,E06000025,237366,35126,51723,32883,23026,13120,26470,26622,11843,16553
2021,Plymouth,E06000026,218624,19042,40217,26861,18811,13751,29555,30785,17684,21918
2021,Torbay,E06000027,117032,9869,21931,13399,16510,7275,17627,15515,9598,5308
2021,Swindon,E06000030,187151,23697,35487,24340,16839,11485,24331,28091,13294,9587
2021,Peterborough,E06000031,167573,16734,29027,20060,15268,9720,20153,31035,15495,10081
2021,Luton,E06000032,172698,13326,26380,18471,18909,8984,20054,25778,22700,18096
2021,Southend-on-Sea,E06000033,146410,18251,30977,19443,17277,7404,17717,15135,12416,7790
2021,Thurrock,E06000034,136361,12224,24982,17420,15277,8521,17186,20474,11062,9215
2021,Medway,E06000035,222757,22032,43535,29481,24732,13284,27880,28888,18551,14374
2021,Bracknell Forest,E06000036,99933,17493,23689,13256,10571,5405,10163,8764,5242,5350
2021,West Berkshire,E06000037,130736,25182,29104,16438,14605,6695,13465,12258,6403,6586
2021,Reading,E06000038,141360,23551,27262,14620,11754,6341,14939,16004,10863,16026
2021,Slough,E06000039,118935,12483,19919,13262,13327,6257,13293,16295,14030,10069
2021,Windsor and Maidenhead,E06000040,123675,27104,29858,14254,14335,5291,9681,8250,7537,7365
2021,Wokingham,E06000041,140819,33892,34869,17504,13968,5304,11043,8461,6658,9120
2021,Milton Keynes,E06000042,224830,34912,46210,28064,20465,11211,23733,29423,15306,15506
2021,Brighton and Hove,E06000043,235367,37549,52914,22480,27861,8807,20668,16923,15368,32797
2021,Portsmouth,E06000044,170820,16787,32091,18753,16759,9166,20428,20292,13274,23270
2021,Southampton,E06000045,204370,20512,35258,21073,18879,10840,24706,27546,16029,29527
2021,Isle of Wight,E06000046,119585,11430,23779,13893,17090,7444,18260,13797,9019,4873
2021,County Durham,E06000047,433958,38716,76187,48662,35580,29369,58725,64021,47155,35543
2021,Cheshire East,E06000049,329475,55769,74148,38196,36591,18033,34451,35901,20415,15971
2021,Cheshire West and Chester,E06000050,295358,44059,62574,34270,28137,17842,33830,35247,20781,18618
2021,Shropshire,E06000051,272247,33935,58532,31167,37835,15660,33014,32090,16915,13099
2021,Cornwall,E06000052,477425,47246,93997,50249,75227,30062,64568,58525,30107,27444
2021,Isles of Scilly,E06000053,1731,181,364,160,452,137,185,167,53,32
2021,Wiltshire,E06000054,419114,62885,95305,53043,48819,24588,46339,46690,21955,19490
2021,Bedford,E06000055,148121,20518,31468,17782,15543,7818,15627,19224,10902,9239
2021,Central Bedfordshire,E06000056,236756,35950,54699,31619,27834,13391,23810,24565,12604,12284
2021,Northumberland,E06000057,268846,31279,54620,32684,28110,17571,34689,32855,25633,11405
2021,"Bournemouth, Christchurch and Poole",E06000058,334908,42921,68285,40318,38887,17501,41975,34280,21870,28871
2021,Dorset,E06000059,321900,41667,72284,39289,45334,18980,39165,33606,18011,13564
2021,Buckinghamshire,E06000060,443395,84123,103783,52820,55671,19665,40360,34988,26116,25869
2021,North Northamptonshire,E06000061,289186,30936,55133,33892,29479,18176,34858,53082,18793,14837
2021,West Northamptonshire,E06000062,343502,45383,69156,41935,38957,18399,34929,50489,21129,23125
2021,Cambridge,E07000008,124762,29074,21424,8507,7524,3805,7783,9146,5823,31676
2021,East Cambridgeshire,E07000009,71430,11277,16082,8604,8766,4026,7697,8070,3717,3191
2021,Fenland,E07000010,84832,6527,13942,9731,9759,6117,11751,16181,7458,3366
2021,Huntingdonshire,E07000011,148261,23501,33701,19838,15298,8427,16065,16717,8146,6568
2021,South Cambridgeshire,E07000012,130361,30668,31186,14846,14067,5680,11041,9890,5839,7144
2021,Allerdale,E07000026,80513,8005,14857,7854,9387,6204,11496,12639,6949,3122
2021,Barrow-in-Furness,E07000027,55833,5540,10307,6054,4056,4737,8508,9013,5425,2193
2021,Carlisle,E07000028,91343,8402,16812,10472,9627,6102,11991,15948,7231,4758
2021,Copeland,E07000029,56008,5839,10307,5777,4514,5426,8115,8450,5465,2115
2021,Eden,E07000030,46634,5203,9132,4330,8528,3063,5507,6226,2843,1802
2021,South Lakeland,E07000031,89700,12839,19551,8683,13779,6097,10210,9906,4634,4001
2021,Amber Valley,E07000032,105063,12428,20778,11807,10688,7620,13350,16670,7244,4478
2021,Bolsover,E07000033,66278,5181,11138,7161,5965,5603,9716,12949,5748,2817
2021,Chesterfield,E07000034,86004,8654,16118,10673,7641,5600,12914,13424,7143,3837
2021,Derbyshire Dales,E07000035,61060,9867,13374,6098,9325,3516,6199,6870,3224,2587
2021,Erewash,E07000036,93527,10083,18103,11484,8741,6679,12258,15172,6809,4198
2021,High Peak,E07000037,75661,10704,16289,8463,8658,5007,9090,9361,4550,3539
2021,North East Derbyshire,E07000038,85274,9769,17206,10577,9233,5563,11161,11930,6237,3598
2021,South Derbyshire,E07000039,86954,11831,18857,10377,8403,6186,9797,12002,5218,4283
2021,East Devon,E07000040,127386,17187,28688,15723,19233,7032,15504,12413,6547,5059
2021,Exeter,E07000041,111331,13777,20298,11948,8855,4922,11322,12140,5747,22322
2021,Mid Devon,E07000042,68205,8078,13863,7583,10974,3900,8293,8781,3670,3063
2021,North Devon,E07000043,82193,7937,16292,8844,13689,5248,11499,10089,5083,3512
2021,South Hams,E07000044,74968,11430,17357,7509,13447,3656,7557,6616,4086,3310
2021,Teignbridge,E07000045,113463,14269,24994,13299,16319,6661,14444,12368,6386,4723
2021,Torridge,E07000046,57561,5123,10640,6036,10684,3633,8448,7060,3801,2136
2021,West Devon,E07000047,48363,6278,10302,4991,8753,2597,5459,5180,2754,2049
2021,Eastbourne,E07000061,84577,8477,17839,10483,10052,4651,11887,9259,6857,5072
2021,Hastings,E07000062,74704,6481,15060,8844,10288,4189,10827,8197,7007,3811
2021,Lewes,E07000063,83220,11745,18890,10213,11859,4223,9327,7516,5295,4152
2021,Rother,E07000064,79489,9735,17360,10084,13057,4011,9377,6588,6023,3254
2021,Wealden,E07000065,133648,19770,30410,16793,21904,6657,14219,10408,7450,6037
2021,Basildon,E07000066,148665,17646,29314,20857,16851,8234,18201,18214,11725,7623
2021,Braintree,E07000067,126568,15613,26707,16425,15723,7487,15834,14999,7999,5781
2021,Brentwood,E07000068,62867,12615,14881,8854,7925,2481,5288,4174,3620,3029
2021,Castle Point,E07000069,74412,7846,14268,11137,9656,4562,9703,8331,5734,3175
2021,Chelmsford,E07000070,147738,25241,34425,19978,16146,6866,14637,13381,8630,8434
2021,Colchester,E07000071,156339,20691,33719,18400,16678,7937,18530,15430,9995,14959
2021,Epping Forest,E07000072,109931,17935,23604,14307,16610,4745,9861,8766,8009,6094
2021,Harlow,E07000073,73102,6309,13949,9509,7830,4641,9955,11053,5744,4112
2021,Maldon,E07000074,55428,7447,11823,7049,8164,3051,6428,5623,3523,2320
2021,Rochford,E07000075,70709,9698,15441,11181,8922,3761,7850,6295,4383,3178
2021,Tendring,E07000076,124892,10172,21916,15162,16086,8165,19876,16214,12437,4864
2021,Uttlesford,E07000077,73522,13500,17754,9009,10510,3391,6799,5577,3296,3686
2021,Cheltenham,E07000078,98438,16936,22414,12030,9694,4450,10652,9140,5597,7525
2021,Cotswold,E07000079,76315,13765,16903,7904,12025,4079,7613,6775,3544,3707
2021,Forest of Dean,E07000080,73047,8213,14079,8486,10093,4571,9189,9398,5081,3937
2021,Gloucester,E07000081,106939,10679,20861,14374,8959,6847,15469,14518,8065,7167
2021,Stroud,E07000082,100195,16275,23117,11273,12988,5467,11429,10084,4985,4577
2021,Tewkesbury,E07000083,77357,12116,18240,10715,8571,4217,8775,7365,3949,3409
2021,Basingstoke and Deane,E07000084,149807,26665,33838,19693,14580,8326,16329,15452,8218,6706
2021,East Hampshire,E07000085,103830,18941,24666,11849,14105,5132,10761,8236,5004,5136
2021,Eastleigh,E07000086,110332,17014,25619,14863,11353,6581,13076,10869,5735,5222
2021,Fareham,E07000087,95638,15031,24199,13142,9949,4995,10705,8274,5088,4255
2021,Gosport,E07000088,67211,6417,14393,8773,6315,4609,10055,8759,4770,3120
2021,Hart,E07000089,80328,17586,20249,10396,9042,3482,7052,5090,3422,4009
2021,Havant,E07000090,102865,12055,20697,12611,12154,6424,14391,11949,8053,4531
2021,New Forest,E07000091,148744,20891,32790,18768,19411,9387,17974,14786,8749,5988
2021,Rushmoor,E07000092,80871,10171,16761,10768,7536,5026,10878,9030,6711,3990
2021,Test Valley,E07000093,106751,18548,24774,13710,11935,5710,10906,11079,5375,4714
2021,Winchester,E07000094,104751,22240,24857,10727,11921,4331,8314,7351,4651,10359
2021,Broxbourne,E07000095,79440,9355,15512,10936,10236,4448,8844,9486,6117,4506
2021,Dacorum,E07000096,123779,21113,28380,15554,15184,5763,11889,12199,7161,6536
2021,Hertsmere,E07000098,86192,14924,19074,10675,11998,3474,7750,6388,5797,6112
2021,North Hertfordshire,E07000099,107743,21311,25759,12897,11451,5077,10664,9582,5748,5254
2021,Three Rivers,E07000102,75001,14801,17947,9281,9640,3221,6178,5233,4158,4542
2021,Watford,E07000103,80963,12162,17747,9766,9306,3812,8130,8251,6214,5575
2021,Ashford,E07000105,106769,13767,22592,13182,13300,6528,12657,11525,7648,5570
2021,Canterbury,E07000106,132774,15866,26040,13639,14756,6168,14036,12030,9194,21045
2021,Dartford,E07000107,90698,12291,19637,12493,9835,5226,9889,9988,6163,5176
2021,Dover,E07000108,96131,8879,20464,11596,11474,6326,13385,11205,8197,4605
2021,Gravesham,E07000109,84555,8562,16052,10500,9831,5154,10552,11545,7456,4903
2021,Maidstone,E07000110,142136,19104,31330,18473,17457,7816,15260,16414,9340,6942
2021,Sevenoaks,E07000111,96604,18525,21781,12273,12962,4400,8784,7523,5534,4822
2021,Folkestone and Hythe,E07000112,91555,9617,19147,11573,11303,5624,12193,9712,8219,4167
2021,Swale,E07000113,122000,11835,23009,15212,14445,8011,14868,17957,10911,5752
2021,Thanet,E07000114,115417,9946,22881,13545,15267,6614,16597,13719,11175,5673
2021,Tonbridge and Malling,E07000115,105526,17266,23960,14249,12480,5426,10495,10307,5874,5469
2021,Tunbridge Wells,E07000116,92402,17708,21818,10862,12094,3847,8667,7547,4930,4929
2021,Burnley,E07000117,75199,5388,12299,8242,6567,4771,10983,13157,9074,4718
2021,Chorley,E07000118,96369,13223,21722,11969,9909,5614,11029,11726,6574,4603
2021,Fylde,E07000119,69247,10433,15885,9144,8310,3493,7495,6397,4922,3168
2021,Hyndburn,E07000120,65632,4831,11121,7480,6438,4382,9326,10301,7553,4200
2021,Lancaster,E07000121,119641,12715,22239,12334,11635,6843,14862,13845,8624,16544
2021,Pendle,E07000122,75224,6033,12270,7369,8306,4385,9986,12262,9513,5100
2021,Preston,E07000123,118668,11801,20738,14107,9363,6101,13353,16801,11821,14583
2021,Ribble Valley,E07000124,51464,8335,12699,5981,6884,2933,4790,4641,2638,2563
2021,Rossendale,E07000125,57300,6509,12050,6628,6502,3380,6836,7502,4770,3123
2021,South Ribble,E07000126,91499,11626,20736,13169,8526,5662,10738,10548,5976,4518
2021,West Lancashire,E07000127,98333,11137,19669,10761,10084,5070,10880,12696,7381,10655
2021,Wyre,E07000128,94350,10009,19421,12429,11880,5702,11645,10324,8107,4833
2021,Blaby,E07000129,83666,11034,18447,11502,9090,4978,9087,10260,5084,4184
2021,Charnwood,E07000130,153101,19783,29491,17054,13922,8432,15541,18198,9686,20994
2021,Harborough,E07000131,80428,14337,19203,9663,10301,3805,7410,7662,3776,4271
2021,Hinckley and Bosworth,E07000132,93918,12422,19905,11769,10278,5972,10600,13091,5652,4229
2021,Melton,E07000133,42946,5781,8912,4877,5331,2818,4957,6025,2310,1935
2021,North West Leicestershire,E07000134,86163,11172,17822,10002,8672,6081,9618,12965,5090,4741
2021,Oadby and Wigston,E07000135,47210,6033,9217,6122,4348,2398,5354,5916,3687,4135
2021,Boston,E07000136,57584,3663,8668,5804,5873,4166,8535,13837,4286,2752
2021,East Lindsey,E07000137,121418,9063,21585,12681,16863,8434,18181,18004,12077,4530
2021,Lincoln,E07000138,87067,6726,13299,8443,6585,5011,11151,13069,6815,15968
2021,North Kesteven,E07000139,98013,11830,22718,13300,10627,6034,11765,11114,6020,4605
2021,South Holland,E07000140,78998,6301,13469,8778,9711,5757,10462,16200,5341,2979
