date,geography,geography code,National Statistics Socio-economic Classification (NS-SEC): Total: All usual residents aged 16 years and over,"National Statistics Socio-economic Classification (NS-SEC): L1, L2 and L3 Higher managerial, administrative and professional occupations","National Statistics Socio-economic Classification (NS-SEC): L4, L5 and L6 Lower managerial, administrative and professional occupations",National Statistics Socio-economic Classification (NS-SEC): L7 Intermediate occupations,National Statistics Socio-economic Classification (NS-SEC): L8 and L9 Small employers and own account workers,National Statistics Socio-economic Classification (NS-SEC): L10 and L11 Lower supervisory and technical occupations,National Statistics Socio-economic Classification (NS-SEC): L12 Semi-routine occupations,National Statistics Socio-economic Classification (NS-SEC): L13 Routine occupations,National Statistics Socio-economic Classification (NS-SEC): L14.1 and L14.2 Never worked and long-term unemployed,National Statistics Socio-economic Classification (NS-SEC): L15 Full-time students
2021,North East,E12000001,2178960,210804,394323,257060,169776,136662,288228,302392,249876,169839
2021,North West,E12000002,6025635,678410,1155717,719194,566620,336865,714447,795439,593651,465292
2021,Yorkshire and The Humber,E12000003,4460299,482462,822843,498311,427455,266577,536132,649596,424076,352847
2021,East Midlands,E12000004,3998044,448134,752173,450212,395414,242404,474073,609187,311993,314454
2021,West Midlands,E12000005,4801331,524183,874768,536923,464386,272893,589416,676195,481345,381222
2021,East,E12000006,5148284,706330,1068136,634340,597099,279258,586198,599222,353394,324307
2021,London,E12000007,7103985,1246931,1461688,693967,793247,274709,615668,615256,731530,670989
2021,South East,E12000008,7554580,1183034,1654045,912017,877403,383832,805397,727724,484481,526647
2021,South West,E12000009,4735840,612503,988678,553309,582005,267533,574019,547264,285136,325393
2021,Wales,W92000004,2559416,261107,497440,296084,258152,159871,335136,337686,218476,195464
