date,geography,geography code,National Statistics Socio-economic Classification (NS-SEC): Total: All usual residents aged 16 years and over,"National Statistics Socio-economic Classification (NS-SEC): L1, L2 and L3 Higher managerial, administrative and professional occupations","National Statistics Socio-economic Classification (NS-SEC): L4, L5 and L6 Lower managerial, administrative and professional occupations",National Statistics Socio-economic Classification (NS-SEC): L7 Intermediate occupations,National Statistics Socio-economic Classification (NS-SEC): L8 and L9 Small employers and own account workers,National Statistics Socio-economic Classification (NS-SEC): L10 and L11 Lower supervisory and technical occupations,National Statistics Socio-economic Classification (NS-SEC): L12 Semi-routine occupations,National Statistics Socio-economic Classification (NS-SEC): L13 Routine occupations,National Statistics Socio-economic Classification (NS-SEC): L14.1 and L14.2 Never worked and long-term unemployed,National Statistics Socio-economic Classification (NS-SEC): L15 Full-time students
2021,Hartlepool,E06000001,74686,5272,12650,8244,5595,5062,11056,11738,10531,4538
2021,Middlesbrough,E06000002,113938,7687,17342,12235,7900,6759,15840,17160,17460,11555
2021,Redcar and Cleveland,E06000003,112341,8273,19920,12435,8897,8961,17123,16788,13910,6034
2021,Stockton-on-Tees,E06000004,158010,16007,30972,19209,11857,10090,20134,22280,17954,9507
2021,Darlington,E06000005,88105,9125,17147,10890,7303,5230,11383,13399,8992,4636
2021,Halton,E06000006,103948,9262,18408,13520,7862,7548,14339,16996,10391,5622
2021,Warrington,E06000007,172718,24517,36555,22347,15086,9591,19062,23893,12453,9214
2021,Blackburn with Darwen,E06000008,119509,9177,19058,14205,10439,6432,14882,17933,17203,10180
2021,Blackpool,E06000009,116339,7226,18549,13893,13867,7311,17431,17382,14403,6277
2021,"Kingston upon Hull, City of",E06000010,213877,11743,30582,21466,14692,15852,32397,43768,25766,17611
2021,East Riding of Yorkshire,E06000011,288141,34013,61751,33989,33106,18196,35335,37213,21313,13225
2021,North East Lincolnshire,E06000012,127521,8411,20582,13107,10592,10348,18145,26033,13546,6757
2021,North Lincolnshire,E06000013,139467,11866,24289,14409,12451,11307,19313,25716,13133,6983
2021,York,E06000014,172083,25340,34324,17934,14612,8597,17145,18306,9131,26694
2021,Derby,E06000015,209191,21070,36857,23127,16091,13301,25705,32809,21366,18865
2021,Leicester,E06000016,291016,19606,35492,26379,20246,13012,32502,61136,39098,43545
2021,Rutland,E06000017,34298,5618,8024,3907,4459,1776,3180,3423,1908,2003
2021,Nottingham,E06000018,264323,21358,35308,22236,17690,12018,27814,38671,28219,61009
2021,"Herefordshire, County of",E06000019,157133,18855,32831,16872,23658,8810,20076,19343,9741,6947
2021,Telford and Wrekin,E06000020,148674,15554,26972,17132,12886,10033,20161,23533,12746,9657
2021,Stoke-on-Trent,E06000021,205900,12422,29351,22019,17538,13670,29635,43173,22086,16006
2021,Bath and North East Somerset,E06000022,161618,25670,33828,16353,17181,7323,15270,15046,7266,23681
2021,"Bristol, City of",E06000023,389708,61263,78452,39249,32948,17002,37927,44234,26458,52175
2021,North Somerset,E06000024,178565,26381,39836,22311,20013,9610,22135,19518,9721,9040
2021,South Gloucestershire,E06000025,237366,35126,51723,32883,23026,13120,26470,26622,11843,16553
2021,Plymouth,E06000026,218624,19042,40217,26861,18811,13751,29555,30785,17684,21918
2021,Torbay,E06000027,117032,9869,21931,13399,16510,7275,17627,15515,9598,5308
2021,Swindon,E06000030,187151,23697,35487,24340,16839,11485,24331,28091,13294,9587
2021,Peterborough,E06000031,167573,16734,29027,20060,15268,9720,20153,31035,15495,10081
2021,Luton,E06000032,172698,13326,26380,18471,18909,8984,20054,25778,22700,18096
2021,Southend-on-Sea,E06000033,146410,18251,30977,19443,17277,7404,17717,15135,12416,7790
2021,Thurrock,E06000034,136361,12224,24982,17420,15277,8521,17186,20474,11062,9215
2021,Medway,E06000035,222757,22032,43535,29481,24732,13284,27880,28888,18551,14374
2021,Bracknell Forest,E06000036,99933,17493,23689,13256,10571,5405,10163,8764,5242,5350
2021,West Berkshire,E06000037,130736,25182,29104,16438,14605,6695,13465,12258,6403,6586
2021,Reading,E06000038,141360,23551,27262,14620,11754,6341,14939,16004,10863,16026
2021,Slough,E06000039,118935,12483,19919,13262,13327,6257,13293,16295,14030,10069
2021,Windsor and Maidenhead,E06000040,123675,27104,29858,14254,14335,5291,9681,8250,7537,7365
2021,Wokingham,E06000041,140819,33892,34869,17504,13968,5304,11043,8461,6658,9120
2021,Milton Keynes,E06000042,224830,34912,46210,28064,20465,11211,23733,29423,15306,15506
2021,Brighton and Hove,E06000043,235367,37549,52914,22480,27861,8807,20668,16923,15368,32797
2021,Portsmouth,E06000044,170820,16787,32091,18753,16759,9166,20428,20292,13274,23270
2021,Southampton,E06000045,204370,20512,35258,21073,18879,10840,24706,27546,16029,29527
2021,Isle of Wight,E06000046,119585,11430,23779,13893,17090,7444,18260,13797,9019,4873
2021,County Durham,E06000047,433958,38716,76187,48662,35580,29369,58725,64021,47155,35543
2021,Cheshire East,E06000049,329475,55769,74148,38196,36591,18033,34451,35901,20415,15971
2021,Cheshire West and Chester,E06000050,295358,44059,62574,34270,28137,17842,33830,35247,20781,18618
2021,Shropshire,E06000051,272247,33935,58532,31167,37835,15660,33014,32090,16915,13099
2021,Cornwall,E06000052,477425,47246,93997,50249,75227,30062,64568,58525,30107,27444
2021,Isles of Scilly,E06000053,1731,181,364,160,452,137,185,167,53,32
2021,Wiltshire,E06000054,419114,62885,95305,53043,48819,24588,46339,46690,21955,19490
2021,Bedford,E06000055,148121,20518,31468,17782,15543,7818,15627,19224,10902,9239
2021,Central Bedfordshire,E06000056,236756,35950,54699,31619,27834,13391,23810,24565,12604,12284
2021,Northumberland,E06000057,268846,31279,54620,32684,28110,17571,34689,32855,25633,11405
2021,"Bournemouth, Christchurch and Poole",E06000058,334908,42921,68285,40318,38887,17501,41975,34280,21870,28871
2021,Dorset,E06000059,321900,41667,72284,39289,45334,18980,39165,33606,18011,13564
2021,Buckinghamshire,E06000060,443395,84123,103783,52820,55671,19665,40360,34988,26116,25869
2021,North Northamptonshire,E06000061,289186,30936,55133,33892,29479,18176,34858,53082,18793,14837
2021,West Northamptonshire,E06000062,343502,45383,69156,41935,38957,18399,34929,50489,21129,23125
2021,Bolton,E08000001,232288,21610,40501,27986,22145,12102,27860,33871,29156,17057
2021,Bury,E08000002,154876,18990,32603,20079,15325,7923,17717,17470,14901,9868
2021,Manchester,E08000003,437957,47624,69601,40779,32563,17588,42574,52982,57390,76856
2021,Oldham,E08000004,187034,14714,30561,22121,17969,10412,22053,28856,25354,14994
2021,Rochdale,E08000005,174947,15011,30048,20827,17151,9538,20926,27136,21943,12367
2021,Salford,E08000006,216923,24933,41121,26663,16793,10884,23662,28578,23136,21153
2021,Stockport,E08000007,238927,38178,54976,32518,23435,11351,24917,22890,18221,12441
2021,Tameside,E08000008,185136,16206,33217,25226,17125,11756,24154,28002,18948,10502
2021,Trafford,E08000009,186152,35353,43063,23383,17163,7841,17286,15945,14076,12042
2021,Wigan,E08000010,268694,24326,50961,33506,24802,17541,34482,43775,25306,13995
2021,Knowsley,E08000011,124298,8847,20844,16708,10087,7456,17776,19603,15927,7050
2021,Liverpool,E08000012,403027,35473,65566,44207,29251,18638,45856,53271,51137,59628
2021,St. Helens,E08000013,150571,14113,28431,18420,11927,9677,20195,24367,15859,7582
2021,Sefton,E08000014,232391,25050,48299,32685,22267,12271,29941,26967,22275,12636
2021,Wirral,E08000015,262111,30101,54816,34873,22338,15167,33305,31993,24876,14642
2021,Barnsley,E08000016,199789,15879,34044,22700,19338,14713,26705,37307,19813,9290
2021,Doncaster,E08000017,250925,19013,41716,27417,23632,18231,34530,47485,26976,11925
2021,Rotherham,E08000018,215570,18210,37416,26446,20155,14631,30726,33623,23108,11255
2021,Sheffield,E08000019,456250,53794,80586,48458,37429,21847,52669,55737,44550,61180
2021,Newcastle upon Tyne,E08000021,248450,29472,39393,23963,16223,11015,25174,28209,28121,46880
2021,North Tyneside,E08000022,171512,21524,36647,24055,12764,9611,21603,20189,16487,8632
2021,South Tyneside,E08000023,121292,9891,21392,15380,8418,8139,17532,17925,15847,6768
2021,Sunderland,E08000024,226074,17319,38179,29189,15781,14737,32707,34172,29334,14656
2021,Birmingham,E08000025,889622,83255,135380,87182,70747,40497,99975,112776,143540,116270
2021,Coventry,E08000026,276871,27004,43968,29791,20650,14642,31221,40735,27663,41197
2021,Dudley,E08000027,262491,24475,48819,34111,24366,16323,36727,37661,25163,14846
2021,Sandwell,E08000028,266028,16456,36825,28121,20843,15851,38594,48143,39044,22151
2021,Solihull,E08000029,174502,29502,38064,22591,15851,8853,19103,17058,13540,9940
2021,Walsall,E08000030,223100,16833,35524,24463,19907,13409,31889,37134,27912,16029
2021,Wolverhampton,E08000031,208442,15465,32608,21762,16579,11678,28753,37276,27317,17004
2021,Bradford,E08000032,421574,39095,69627,47241,40257,21679,47321,59765,60682,35907
2021,Calderdale,E08000033,166634,20362,33582,19805,17513,8953,19320,22571,14990,9538
2021,Kirklees,E08000034,346276,37990,65286,39028,33997,19038,38852,48204,36477,27404
2021,Leeds,E08000035,658471,88318,125302,76039,54475,32001,68796,78284,57147,78109
2021,Wakefield,E08000036,287538,26891,51345,33705,24336,20081,35933,55764,26120,13363
2021,Gateshead,E08000037,161747,16238,29874,20113,11347,10118,22262,23659,18451,9685
2021,City of London,E09000001,8004,3176,1914,433,568,134,289,255,437,798
2021,Barking and Dagenham,E09000002,161742,11328,24733,16906,21017,8077,19582,21066,21260,17773
2021,Barnet,E09000003,309357,57691,64413,30511,43699,10038,23553,20958,30833,27661
2021,Bexley,E09000004,195827,25414,40411,29477,21114,10180,20917,19041,15554,13719
2021,Brent,E09000005,275140,31954,45060,23892,36796,11567,26762,33356,36231,29522
2021,Bromley,E09000006,265088,54277,64340,34966,30181,10013,21650,16782,17462,15417
2021,Camden,E09000007,177908,42391,37323,11971,16020,4566,11259,9840,17475,27063
2021,Croydon,E09000008,310399,45735,66130,37862,35382,13143,31084,26908,29723,24432
2021,Ealing,E09000009,295372,43706,55635,27633,34632,12493,25915,31163,35979,28216
2021,Enfield,E09000010,257181,29836,46655,26607,32998,10829,26353,27424,33209,23270
2021,Greenwich,E09000011,229748,38358,46194,22383,22830,10072,23494,21752,23684,20981
2021,Hackney,E09000012,209468,38876,48424,17342,19516,7036,16300,17345,24777,19852
2021,Hammersmith and Fulham,E09000013,154624,35766,34998,12222,14844,5038,10626,10857,13735,16538
2021,Haringey,E09000014,215999,34135,45133,16504,26955,8897,17996,22514,24372,19493
2021,Harrow,E09000015,209621,34558,39456,22711,30841,6783,17716,16149,22681,18726
2021,Havering,E09000016,209730,26155,42207,31343,26166,10689,22685,20163,17230,13092
2021,Hillingdon,E09000017,241878,32183,45721,28509,26220,11863,23766,25019,25356,23241
2021,Hounslow,E09000018,228683,30196,41789,23635,26214,11466,23167,26928,25960,19328
2021,Islington,E09000019,183626,43592,40574,13768,14848,5834,12579,13414,18621,20396
2021,Kensington and Chelsea,E09000020,123086,32237,24426,7920,13936,2854,7944,7005,12897,13867
2021,Kingston upon Thames,E09000021,135464,28368,31686,14074,14899,4580,10463,8397,9511,13486
2021,Lambeth,E09000022,268943,58885,62897,22368,23824,9765,20151,24770,22723,23560
2021,Lewisham,E09000023,242411,41143,56049,22741,23507,9940,22357,21598,23187,21889
2021,Merton,E09000024,172772,34454,37901,17544,21495,6641,14908,13527,13758,12544
2021,Newham,E09000025,276172,29613,42336,23023,33619,12009,28898,29868,41839,34967
2021,Redbridge,E09000026,242017,35495,44843,25653,33015,8248,21931,18661,29991,24180
2021,Richmond upon Thames,E09000027,155834,43355,41019,14195,17822,3954,8609,7198,8639,11043
2021,Southwark,E09000028,256136,53706,54979,20510,20341,9502,20396,24242,23212,29248
2021,Sutton,E09000029,165657,26877,37201,22204,19699,7502,15882,13345,12282,10665
2021,Tower Hamlets,E09000030,252883,52827,47718,19747,17956,8912,19905,18179,34572,33067
2021,Waltham Forest,E09000031,222182,30299,46563,21083,29891,9616,20382,21078,24265,19005
2021,Wandsworth,E09000032,273558,75671,68994,22309,25732,7814,16721,16227,19102,20988
2021,Westminster,E09000033,177470,44668,33967,11922,16668,4650,11431,10231,20973,22960
2021,Cambridgeshire,E10000003,559648,101047,116335,61526,55414,28055,54338,60004,30984,51945
2021,Cumbria,E10000006,420035,45831,80966,43169,49892,31629,55827,62182,32547,17992
2021,Derbyshire,E10000007,659820,78517,131860,76640,68655,45774,84486,98378,46173,29337
2021,Devon,E10000008,683470,84079,142432,75934,101953,37649,82526,74649,38074,46174
2021,East Sussex,E10000011,455639,56208,99559,56417,67160,23733,55636,41968,32632,22326
2021,Essex,E10000012,1224174,164712,257805,161867,151102,65320,142962,128058,85095,67253
2021,Gloucestershire,E10000013,532285,77984,115614,64782,62329,29630,63125,57280,31221,30320
2021,Hampshire,E10000014,1151126,185559,262843,145299,128301,64002,130441,110875,65776,58030
2021,Hertfordshire,E10000015,959080,169891,218154,118154,111812,43747,90718,85690,57456,63458
2021,Kent,E10000016,1276564,163366,268711,157595,155204,71140,147383,139472,94640,79053
2021,Lancashire,E10000017,1012923,112040,200849,119613,104405,58337,121921,130200,86953,78605
2021,Leicestershire,E10000018,587432,80562,122997,70989,61942,34483,62567,74119,35284,44489
2021,Lincolnshire,E10000019,640209,61860,121569,72732,72202,41634,84679,97474,48180,39879
2021,Norfolk,E10000020,767096,80619,148089,89860,94074,47747,102184,105523,53672,45328
2021,North Yorkshire,E10000023,516179,71535,112411,56566,70870,31104,58943,59820,31324,23606
2021,Nottinghamshire,E10000024,679071,83224,135781,78373,65693,43831,83353,99606,51843,37367
2021,Oxfordshire,E10000025,595033,109578,127830,64314,59958,29973,56769,58512,29800,58299
2021,Somerset,E10000027,474939,54492,98923,54137,63676,29420,62821,62256,27980,21234
2021,Staffordshire,E10000028,726398,85426,147763,86202,76280,46616,87880,105088,51692,39451
2021,Suffolk,E10000029,630366,73056,130223,78138,74584,38551,81449,83738,41007,29620
2021,Surrey,E10000030,972512,196830,229677,118743,115917,39979,81914,65639,53395,70418
2021,Warwickshire,E10000031,490564,76541,102387,56298,50160,27664,52394,62441,31142,31537
2021,West Sussex,E10000032,727120,104441,163154,93748,90846,39295,84637,69368,43842,37789
2021,Worcestershire,E10000034,499359,68460,105744,59209,57084,29190,59995,59744,32844,27089
2021,Isle of Anglesey,W06000001,57148,5557,11764,6220,7445,3784,7868,6885,4586,3039
2021,Gwynedd,W06000002,97969,9098,19158,9266,13726,6005,12551,11659,6581,9925
2021,Conwy,W06000003,96364,9623,20253,10706,12496,6042,13606,10985,7737,4916
2021,Denbighshire,W06000004,78908,7355,16124,8790,9205,4875,11165,10114,6990,4290
2021,Flintshire,W06000005,127579,13482,25477,16269,11580,9144,16882,19297,8837,6611
2021,Wrexham,W06000006,110274,9898,20223,13302,9952,7664,14947,18288,9102,6898
2021,Ceredigion,W06000008,61391,6307,11691,5738,10518,3067,6454,5953,3525,8138
2021,Pembrokeshire,W06000009,102553,8720,19901,10101,15953,7320,15136,12638,8126,4658
2021,Carmarthenshire,W06000010,155485,13810,30781,17690,19897,9766,21653,20557,12662,8669
2021,Swansea,W06000011,197857,20489,37588,24373,15214,11272,24825,23991,17427,22678
