centreName,centreType,address,city,county,postcode,website,phone,latitude,longitude,lastVerifiedDate,dataQualityNote,storeName,categoryRaw,subcategoryRaw,unitNumber,floor,isAnchorTenant,normalizedCategoryId,sourceUrls
Discovery Business Park,RETAIL_PARK,Padholme Road East,Peterborough,Cambridgeshire,PE1,,,52.5741,-0.2097,2025-09-29,"Primarily a trade/industrial estate with retail/trade counter occupiers, not a traditional shopping park.",B&Q TradePoint,DIY & Home Improvement,Large Format DIY Warehouse,Unit 1,,True,DIY_HOME_IMPROVEMENT,https://www.diy.com/store/0158
Discovery Business Park,RETAIL_PARK,Padholme Road East,Peterborough,Cambridgeshire,PE1,,,52.5741,-0.2097,2025-09-29,"Primarily a trade/industrial estate with retail/trade counter occupiers, not a traditional shopping park.",Screwfix Peterborough - Padholme Road,Trade Counter,Tools & Supplies,Unit 2,,False,TRADE_SUPPLIES,https://www.screwfix.com/stores/
Discovery Business Park,RETAIL_PARK,Padholme Road East,Peterborough,Cambridgeshire,PE1,,,52.5741,-0.2097,2025-09-29,"Primarily a trade/industrial estate with retail/trade counter occupiers, not a traditional shopping park.",Toolstation Peterborough,Trade Counter,Tools & Building Supplies,Unit 3,,False,TRADE_SUPPLIES,https://www.toolstation.com/branch-finder/peterborough-padholme
Discovery Business Park,RETAIL_PARK,Padholme Road East,Peterborough,Cambridgeshire,PE1,,,52.5741,-0.2097,2025-09-29,"Primarily a trade/industrial estate with retail/trade counter occupiers, not a traditional shopping park.",Topps Tiles,Home Improvement,Tiles & Flooring,Unit 4,,False,HOME_FURNISHINGS,https://www.toppstiles.co.uk/store/peterborough-discovery
Discovery Business Park,RETAIL_PARK,Padholme Road East,Peterborough,Cambridgeshire,PE1,,,52.5741,-0.2097,2025-09-29,"Primarily a trade/industrial estate with retail/trade counter occupiers, not a traditional shopping park.",Tile Giant Peterborough,Home Improvement,Tiles & Bathrooms,Unit 5,,False,HOME_FURNISHINGS,https://www.tilegiant.co.uk/store-finder/peterborough
Discovery Business Park,RETAIL_PARK,Padholme Road East,Peterborough,Cambridgeshire,PE1,,,52.5741,-0.2097,2025-09-29,"Primarily a trade/industrial estate with retail/trade counter occupiers, not a traditional shopping park.",Magnet Kitchens,Home Improvement,Kitchens,Unit 6,,False,HOME_FURNISHINGS,https://www.magnet.co.uk/branch-finder/peterborough/
Discovery Business Park,RETAIL_PARK,Padholme Road East,Peterborough,Cambridgeshire,PE1,,,52.5741,-0.2097,2025-09-29,"Primarily a trade/industrial estate with retail/trade counter occupiers, not a traditional shopping park.",Howdens Joinery Peterborough,Trade Counter,Joinery & Kitchens,Unit 7,,False,TRADE_SUPPLIES,https://www.howdens.com/find-a-depot/peterborough-discovery
Discovery Business Park,RETAIL_PARK,Padholme Road East,Peterborough,Cambridgeshire,PE1,,,52.5741,-0.2097,2025-09-29,"Primarily a trade/industrial estate with retail/trade counter occupiers, not a traditional shopping park.",Wolseley/Plumb Center,Trade Counter,Plumbing & Heating Supplies,Unit 8,,False,TRADE_SUPPLIES,https://www.wolseley.co.uk/branch/peterborough-padholme-road/
Discovery Business Park,RETAIL_PARK,Padholme Road East,Peterborough,Cambridgeshire,PE1,,,52.5741,-0.2097,2025-09-29,"Primarily a trade/industrial estate with retail/trade counter occupiers, not a traditional shopping park.",Euro Car Parts,Automotive,Car Parts & Accessories,Unit 9,,False,AUTO_PARTS,https://www.eurocarparts.com/store/peterborough
Discovery Business Park,RETAIL_PARK,Padholme Road East,Peterborough,Cambridgeshire,PE1,,,52.5741,-0.2097,2025-09-29,"Primarily a trade/industrial estate with retail/trade counter occupiers, not a traditional shopping park.",Halfords Autocentre,Automotive,Garage & Repairs,Unit 10,,False,AUTO_SERVICES,https://www.halfordsautocentres.com/locate-a-centre/peterborough-discovery
Discovery Business Park,RETAIL_PARK,Padholme Road East,Peterborough,Cambridgeshire,PE1,,,52.5741,-0.2097,2025-09-29,"Primarily a trade/industrial estate with retail/trade counter occupiers, not a traditional shopping park.",PureGym Peterborough,Leisure,Gym,Unit 11,,False,LEISURE_FITNESS,https://www.puregym.com/gyms/peterborough/
