"flex href","w-28 src","mt-8","mt-2"
"https://midsummerplace.co.uk/business-directory/eva-jewellery","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/EVA.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1762882079&s=5a6d6534a829a753ab9f64862bd69b08","Eva Jewellery","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/bloom-island","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Bloom-island-logo.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1759245888&s=e40a670bc54efaf59dcf4d3d74b88538","Bloom Island",""
"https://midsummerplace.co.uk/business-directory/spud5","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Spud-5-logo.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1759245444&s=1474462bef9095383a4649fd7360cb11","SPUD5","11:00am - 6:00pm"
"https://midsummerplace.co.uk/business-directory/popeyes","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/22PLK_POPEYES-Chicken-Seal_RBI-Design-02.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1752075826&s=2c201883cd528933664c60e65a5c84a2","Popeyes","10:00am - 11:00pm"
"https://midsummerplace.co.uk/business-directory/s%C3%B8strene-grene","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/logoOval_brown.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1750089343&s=2b1ef15b6e430256bdbe431060dd060e","Søstrene Grene","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/smoke-pepper","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/SMOKEPEPPER_Stacked_DARK.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1747813509&s=547a9631d96c742695cbcbc395354f7d","Smoke & Pepper","11:00am - 11:00pm"
"https://midsummerplace.co.uk/business-directory/lane-7-mk","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/L7_MK_WhiteonBlack.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1742378302&s=4ebf5b3eefef7f34bce1b5c85dd1a432","Lane7","11:00am - 12:00am"
"https://midsummerplace.co.uk/business-directory/flying-panda","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Main-Logo-Block-Web-Large.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1738149984&s=7a15a34fd853d447ffbab35d7c16ecfb","Flying Panda","10:00am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/trends","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Trends-logo-cut.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1729672927&s=9329b13f9c17e9f8257383c50ec2a79a","Trends","10:00am - 6:00pm"
"https://midsummerplace.co.uk/business-directory/horizon-radio","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Horizon-logo-stacked@3x.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1721817522&s=19298a8b35b9e395af1f25fa48b4a479","Horizon Radio","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/flannels","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/FL-logo-Black.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1720104976&s=2f24845299ed6e93a18a2c3517f69194","FLANNELS","9:30am - 8:00pm"
