StoreName,MidsummerURL,OpeningHours,LogoURL,Website,Email,Email_Alt,Email_Source,Phone,Phone_Source,Facebook,Instagram,Twitter,LinkedIn,TikTok,Address,GoogleMapsURL,Confidence_Score,Enrichment_Sources,Notes
Eva Jewellery,https://midsummerplace.co.uk/business-directory/eva-jewellery,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/EVA.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1762882079&s=5a6d6534a829a753ab9f64862bd69b08,,,,,+44 7936 842156,google_maps,,,,,,"105 Midsummer Blvd, Milton Keynes MK9 3DX, United Kingdom",,10,outscraper,
Bloom Island,https://midsummerplace.co.uk/business-directory/bloom-island,,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Bloom-island-logo.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1759245888&s=e40a670bc54efaf59dcf4d3d74b88538,,,,,,,,https://www.instagram.com/bloomisland.flowers,,,,"21 Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,10,"midsummer, instagram_bio, outscraper",
SPUD5,https://midsummerplace.co.uk/business-directory/spud5,11:00am - 6:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Spud-5-logo.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1759245444&s=1474462bef9095383a4649fd7360cb11,,,,,,,,,,,,,,0,,
Popeyes,https://midsummerplace.co.uk/business-directory/popeyes,10:00am - 11:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/22PLK_POPEYES-Chicken-Seal_RBI-Design-02.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1752075826&s=2c201883cd528933664c60e65a5c84a2,https://popeyesuk.com/restaurants/milton-keynes,,,,+44 330 175 8760,google_maps,,https://www.instagram.com/popeyesuk,,,,"Unit 2 Midsummer Blvd, Milton Keynes MK9 3GA, United Kingdom",,30,"midsummer, instagram_bio, outscraper",
Søstrene Grene,https://midsummerplace.co.uk/business-directory/s%C3%B8strene-grene,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/logoOval_brown.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1750089343&s=2b1ef15b6e430256bdbe431060dd060e,,,,,+44 1908 018838,google_maps,https://www.facebook.com/sostrenegreneUK,https://www.instagram.com/sostrenegrene,,,,"50-52 Midsummer Blvd, Milton Keynes MK9 3GA, United Kingdom",,20,"midsummer, instagram_bio, outscraper",
Smoke & Pepper,https://midsummerplace.co.uk/business-directory/smoke-pepper,11:00am - 11:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/SMOKEPEPPER_Stacked_DARK.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1747813509&s=547a9631d96c742695cbcbc395354f7d,,,,,,,,https://www.instagram.com/smokeandpepperldn,,,,,,10,"midsummer, instagram_bio",
Lane7,https://midsummerplace.co.uk/business-directory/lane-7-mk,11:00am - 12:00am,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/L7_MK_WhiteonBlack.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1742378302&s=4ebf5b3eefef7f34bce1b5c85dd1a432,https://lane7.com/venue/milton-keynes/,corporatebookings@lane7.co.uk,marketing@lane7.co.uk; Booking@lane7.co.uk,website,+44 1908 769753,google_maps,,https://www.instagram.com/lane7_,,,,"38, Midsummer Place Shopping Centre, Milton Keynes MK9 3GA, United Kingdom",,55,"midsummer, instagram_bio, outscraper, website",
Flying Panda,https://midsummerplace.co.uk/business-directory/flying-panda,10:00am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Main-Logo-Block-Web-Large.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1738149984&s=7a15a34fd853d447ffbab35d7c16ecfb,,,,,+44 1908 557000,google_maps,,https://www.instagram.com/flyingpandauk,,,,"67 Midsummer Place, Milton Keynes MK9 3GB, United Kingdom",,20,"midsummer, instagram_bio, outscraper",
Trends,https://midsummerplace.co.uk/business-directory/trends,10:00am - 6:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Trends-logo-cut.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1729672927&s=9329b13f9c17e9f8257383c50ec2a79a,,,,,+44 1908 557000,google_maps,,,,,,"67 Midsummer Place, Milton Keynes MK9 3GB, United Kingdom",,10,outscraper,
Horizon Radio,https://midsummerplace.co.uk/business-directory/horizon-radio,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Horizon-logo-stacked@3x.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1721817522&s=19298a8b35b9e395af1f25fa48b4a479,,,,,+44 1908 557000,google_maps,https://www.facebook.com/horizonradioofficial,,,,,"67 Midsummer Place, Milton Keynes MK9 3GB, United Kingdom",,10,"midsummer, outscraper",
