centreName,centreType,address,city,county,postcode,website,phone,latitude,longitude,lastVerifiedDate,storeName,categoryRaw,subcategoryRaw,unitNumber,floor,isAnchorTenant,normalizedCategoryId,sourceUrls
Ortongate Shopping Centre,SHOPPING_CENTRE,"Ortongate Shopping Centre, Bushfield, Orton Centre",Peterborough,Cambridgeshire,PE2 5TD,https://ortongate.co.uk/,,52.5567,-0.291,2025-09-29,Asda Superstore,Supermarket,Grocery,,,True,GROCERY_SUPERMARKET,https://storelocator.asda.com/store/peterborough-orton
Ortongate Shopping Centre,SHOPPING_CENTRE,"Ortongate Shopping Centre, Bushfield, Orton Centre",Peterborough,Cambridgeshire,PE2 5TD,https://ortongate.co.uk/,,52.5567,-0.291,2025-09-29,Iceland,Supermarket,Frozen Foods,,,False,GROCERY_SUPERMARKET,https://www.iceland.co.uk/store-finder/store?StoreID=613&StoreName=ORTON-GATE
Ortongate Shopping Centre,SHOPPING_CENTRE,"Ortongate Shopping Centre, Bushfield, Orton Centre",Peterborough,Cambridgeshire,PE2 5TD,https://ortongate.co.uk/,,52.5567,-0.291,2025-09-29,Wilko,Discount Variety,Home & Garden,,,False,DISCOUNT_STORE,https://www.wilko.com/en-uk/stores/peterborough-orton-gate/579
Ortongate Shopping Centre,SHOPPING_CENTRE,"Ortongate Shopping Centre, Bushfield, Orton Centre",Peterborough,Cambridgeshire,PE2 5TD,https://ortongate.co.uk/,,52.5567,-0.291,2025-09-29,Card Factory,Cards & Gifts,Greeting Cards,,,False,GIFTS_CARDS,https://www.cardfactory.co.uk/stores/peterborough/orton-gate-shopping-centre
Ortongate Shopping Centre,SHOPPING_CENTRE,"Ortongate Shopping Centre, Bushfield, Orton Centre",Peterborough,Cambridgeshire,PE2 5TD,https://ortongate.co.uk/,,52.5567,-0.291,2025-09-29,Savers,Discount Health & Beauty,Toiletries & Cosmetics,,,False,DISCOUNT_STORE,https://www.savers.co.uk/stores/peterborough-orton-gate
Ortongate Shopping Centre,SHOPPING_CENTRE,"Ortongate Shopping Centre, Bushfield, Orton Centre",Peterborough,Cambridgeshire,PE2 5TD,https://ortongate.co.uk/,,52.5567,-0.291,2025-09-29,Specsavers,Optician,Eyewear,,,False,OPTICIANS,https://www.specsavers.co.uk/stores/peterboroughortongate
Ortongate Shopping Centre,SHOPPING_CENTRE,"Ortongate Shopping Centre, Bushfield, Orton Centre",Peterborough,Cambridgeshire,PE2 5TD,https://ortongate.co.uk/,,52.5567,-0.291,2025-09-29,Boots,Pharmacy,Health & Beauty,,,False,HEALTH_BEAUTY,https://www.boots.com/stores/6394-peterborough-orton-gate-shopping-centre-pe2-5td
Ortongate Shopping Centre,SHOPPING_CENTRE,"Ortongate Shopping Centre, Bushfield, Orton Centre",Peterborough,Cambridgeshire,PE2 5TD,https://ortongate.co.uk/,,52.5567,-0.291,2025-09-29,Superdrug,Pharmacy & Beauty,Health & Beauty,,,False,HEALTH_BEAUTY,https://www.superdrug.com/store/peterborough-orton-gate
Ortongate Shopping Centre,SHOPPING_CENTRE,"Ortongate Shopping Centre, Bushfield, Orton Centre",Peterborough,Cambridgeshire,PE2 5TD,https://ortongate.co.uk/,,52.5567,-0.291,2025-09-29,Greggs,Bakery,Food on the Go,,,False,FOOD_DRINK_BAKERY,https://www.greggs.co.uk/stores/peterborough-orton-gate
Ortongate Shopping Centre,SHOPPING_CENTRE,"Ortongate Shopping Centre, Bushfield, Orton Centre",Peterborough,Cambridgeshire,PE2 5TD,https://ortongate.co.uk/,,52.5567,-0.291,2025-09-29,Costa Coffee,Cafe,Coffee Shop,,,False,FOOD_DRINK_CAFE,https://www.costa.co.uk/store-locator/pe2-5td/costa-coffee-peterborough-orton-gate
Ortongate Shopping Centre,SHOPPING_CENTRE,"Ortongate Shopping Centre, Bushfield, Orton Centre",Peterborough,Cambridgeshire,PE2 5TD,https://ortongate.co.uk/,,52.5567,-0.291,2025-09-29,Subway,Takeaway,Sandwiches,,,False,FOOD_DRINK_SANDWICH,https://restaurants.subway.com/united-kingdom/en/peterborough/orton-gate-shopping-centre
Ortongate Shopping Centre,SHOPPING_CENTRE,"Ortongate Shopping Centre, Bushfield, Orton Centre",Peterborough,Cambridgeshire,PE2 5TD,https://ortongate.co.uk/,,52.5567,-0.291,2025-09-29,Domino's Pizza,Takeaway,Pizza Delivery,,,False,FOOD_DRINK_PIZZA,https://www.dominos.co.uk/store/peterborough-orton
Ortongate Shopping Centre,SHOPPING_CENTRE,"Ortongate Shopping Centre, Bushfield, Orton Centre",Peterborough,Cambridgeshire,PE2 5TD,https://ortongate.co.uk/,,52.5567,-0.291,2025-09-29,British Heart Foundation,Charity Shop,Second-hand Retail,,,False,CHARITY_SHOP,https://www.bhf.org.uk/shop/find/details/orongate-shopping-centre-orton-peterborough
