"tablescraper-selected-row href","StoreTitle"
"https://www.pentagonshoppingcentre.co.uk/Store/Adecco","Adecco"
"https://www.pentagonshoppingcentre.co.uk/Store/Ascend-co-working","Ascend co-working"
"https://www.pentagonshoppingcentre.co.uk/Store/BBs-Coffee-and-Muffins","BB's Coffee and Muffins"
"https://www.pentagonshoppingcentre.co.uk/Store/Boots","Boots"
"https://www.pentagonshoppingcentre.co.uk/Store/Brit-Vape","Brit Vape"
"https://www.pentagonshoppingcentre.co.uk/Store/British-Heart-Foundation","British Heart Foundation"
"https://www.pentagonshoppingcentre.co.uk/Store/Card-Factory","Card Factory"
"https://www.pentagonshoppingcentre.co.uk/Store/CEX","CEX"
"https://www.pentagonshoppingcentre.co.uk/Store/Chatham-Bowl","Chatham Bowl"
"https://www.pentagonshoppingcentre.co.uk/Store/Chinese-Herbal-Centre","Chinese Herbal Centre"
"https://www.pentagonshoppingcentre.co.uk/Store/Coffee-Republic","Coffee Republic"
"https://www.pentagonshoppingcentre.co.uk/Store/D-A-Toys","D & A Toys"
"https://www.pentagonshoppingcentre.co.uk/Store/DEICHMANN","DEICHMANN"
"https://www.pentagonshoppingcentre.co.uk/Store/EE","EE"
"https://www.pentagonshoppingcentre.co.uk/Store/Etiquette","Etiquette"
"https://www.pentagonshoppingcentre.co.uk/Store/Fone-World","Fone World"
"https://www.pentagonshoppingcentre.co.uk/Store/Foot-Locker","Foot Locker"
"https://www.pentagonshoppingcentre.co.uk/Store/Game","Game"
"https://www.pentagonshoppingcentre.co.uk/Store/Greggs","Greggs"
"https://www.pentagonshoppingcentre.co.uk/Store/JD","JD"
"https://www.pentagonshoppingcentre.co.uk/Store/Jesses-Cafe","Jesse's Cafe"
"https://www.pentagonshoppingcentre.co.uk/Store/Kwik-Film","Kwik Film"
"https://www.pentagonshoppingcentre.co.uk/Store/Latinos","Latino's"
"https://www.pentagonshoppingcentre.co.uk/Store/Life-is-Sweet","Life is Sweet"
"https://www.pentagonshoppingcentre.co.uk/Store/Mobility-Hub","Mobility Hub"
"https://www.pentagonshoppingcentre.co.uk/Store/Muffin-Break","Muffin Break"
"https://www.pentagonshoppingcentre.co.uk/Store/New-Look","New Look"
"https://www.pentagonshoppingcentre.co.uk/Store/Noodle-Stop","Noodle Stop"
"https://www.pentagonshoppingcentre.co.uk/Store/O2","O2"
"https://www.pentagonshoppingcentre.co.uk/Store/Pandora","Pandora"
"https://www.pentagonshoppingcentre.co.uk/Store/Poundland-PepCo","Poundland / Pep&Co"
"https://www.pentagonshoppingcentre.co.uk/Store/Ramsdens","Ramsdens"
"https://www.pentagonshoppingcentre.co.uk/Store/Robinson-Michael-Jackson","Robinson Michael & Jackson"
"https://www.pentagonshoppingcentre.co.uk/Store/Safias-Barber","Safia's Barber"
"https://www.pentagonshoppingcentre.co.uk/Store/Sainsburys","Sainsburys"
"https://www.pentagonshoppingcentre.co.uk/Store/Select","Select"
"https://www.pentagonshoppingcentre.co.uk/Store/Subway","Subway"
"https://www.pentagonshoppingcentre.co.uk/Store/Superdrug","Superdrug"
"https://www.pentagonshoppingcentre.co.uk/Store/The-Entertainer","The Entertainer"
"https://www.pentagonshoppingcentre.co.uk/Store/The-Fragrance-Shop","The Fragrance Shop"
"https://www.pentagonshoppingcentre.co.uk/Store/The-Works","The Works"
"https://www.pentagonshoppingcentre.co.uk/Store/Three-Store","Three Store"
"https://www.pentagonshoppingcentre.co.uk/Store/Timpson","Timpson"
"https://www.pentagonshoppingcentre.co.uk/Store/Vodafone","Vodafone"
"https://www.pentagonshoppingcentre.co.uk/Store/Warhammer","Warhammer"
"https://www.pentagonshoppingcentre.co.uk/Store/Warren-James","Warren James"
