centreName,centreType,address,city,county,postcode,website,phone,latitude,longitude,lastVerifiedDate,storeName,categoryRaw,subcategoryRaw,unitNumber,floor,isAnchorTenant,normalizedCategoryId,sourceUrls
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,Tesco Extra,Supermarket,Hypermarket,,,True,GROCERY_SUPERMARKET,https://serpentine-green.com/stores/tesco-extra | https://www.tesco.com/store-locator/uk/?bID=6462
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,H&M,Fashion,Clothing,,,False,APPAREL,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,Next,Fashion,Clothing & Home,,,False,APPAREL,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,River Island,Fashion,Clothing,,,False,APPAREL,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,New Look,Fashion,Clothing,,,False,APPAREL,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,Matalan,Fashion & Home,Value Fashion,,,False,APPAREL_VALUE,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,Roman Originals,Fashion,Clothing,,,False,APPAREL,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,Yours Clothing,Fashion,Plus Size,,,False,APPAREL,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,Clarks,Footwear,Shoes,,,False,FOOTWEAR,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,Deichmann,Footwear,Shoes,,,False,FOOTWEAR,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,Shoe Zone,Footwear,Value Shoes,,,False,FOOTWEAR,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,Boots,Health & Beauty,Pharmacy,,,False,HEALTH_BEAUTY,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,Superdrug,Health & Beauty,Cosmetics,,,False,HEALTH_BEAUTY,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,Specsavers,Opticians,Eyewear,,,False,OPTICIANS,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,Vision Express,Opticians,Eyewear,,,False,OPTICIANS,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,Holland & Barrett,Health Food,Supplements,,,False,HEALTH_WELLNESS,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,The Body Shop,Cosmetics,Natural Beauty,,,False,HEALTH_BEAUTY,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,PKAI Hair,Hair Salon,Hairdresser,,,False,BEAUTY_SERVICES,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,Barber Shop,Barber,Gents Haircuts,,,False,BARBERSHOP,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,Tanning Studio,Beauty,Tanning,,,False,BEAUTY_SALON,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,H. Samuel,Jewellery,Watches,,,False,JEWELLERY,https://serpentine-green.com/stores
Serpentine Green,SHOPPING_CENTRE,"The Serpentine, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,,52.5447,-0.2853,2025-09-29,Warren James,Jewellery,Value Jewellery,,,False,JEWELLERY,https://serpentine-green.com/stores
